nasukati;nasukah;nasukaš;nasuka;nasukasmo;nasukajte;nasukaju
omogućiti;omogućio;omogućiš;omogući;omogućismo;omogućiste;omogućiše
sravniti;sravnim;sravniš;neka sravni;sravnismo;sravnite;neka sravne
zabraviti;zabravih;zabraviš;-;zabravismo;zabraviste;zabraviše
sprovoditi;sprovodim;sprovodiš;sprovođaše;sprovodimo;sprovodite;sprovode
dokučiti;dokučih;dokučiš;dokuči;dokučismo;dokučiste;dokučiše
doletjeti;doletjeh;doletje;doletje;doletjesmo;doletjeste;doletješe
založiti;založim;založi;-;založismo;založite;založit
pazariti;pazarih;pazaraše;-;pazarismo;pazariste;pazariše
izljubiti;izljubih;izljubiš;izljubi;izljubismo;izljubiste;izljube
zacrniti;zacrnim;zacrniš;zacrni;zacrnismo;zacrnite;zacrniše
oznojiti;oznojim;oznojiš;-;oznojismo;oznojite;oznojiše
zalupiti;zalupih;zalupiš;zalupi;zalupismo;zalupite;zalupe
inatiti;inaćah;inaćaše;inati;inaćasmo;inaćaste;inaćahu
prokrvariti;prokrvarim;prokrvariš;prokrvari;prokrvarismo;prokrvarite;prokrvariše
pohrliti;pohrlim;pohrliš;pohrli;pohrlismo;pohrlite;pohrliše
posramiti;posramim;posrami;-;posramismo;posramite;posrame
zakrabuljiti;zakrabuljih;zakrabulji;-;zakrabuljismo;zakrabuljite;zakrabulje
obraniti;obranih;obraniš;-;obranimo;obraniste;obraniše
zagubiti;zagubim;zagubiš;-;zagubismo;zagubite;zagubit
usporediti;usporedim;usporediš;-;usporedismo;usporedite;usporedit
ponositi;ponošah;ponošaše;ponosi;ponošasmo;ponošaste;ponose
dobaviti;dobavim;dobaviš;dobavi;dobavismo;dobavite;dobaviše
pribilježiti;pribilježim;pribilježiš;pribilježi;pribilježismo;pribilježite;pribilježiše
općiti;općah;općaše;-;općasmo;općaste;općahu
goniti;gonim;goniš;goni;gonimo;gonite;gone
opkoračiti;opkoračih;opkoračiš;opkorači;opkoračismo;opkoračiste;opkoračiše
poganiti;poganjah;poganjaše;poganjaše;poganjasmo;poganite;poganjahu
obgrliti;obgrlim;obgrliš;-;obgrlismo;obgrlite;obgrlit
žalostiti;žalošćah;žalošćaše;žalosti;žalošćasmo;žalošćaste;žalošćahu
žvaliti;žvalih;žvališe;neka žvali;žvalismo;žvaliste;neka žvale
razboljeti;razboljeh;razbolje;razbolje;razboljesmo;razboljeste;razbolješe
odmagliti;odmaglim;odmagliš;odmagli;odmaglismo;odmaglite;odmagliše
rabiti;rabljah;rabiš;rabljaše;rabljasmo;rabljaste;rabit
promašiti;promašim;promašiš;-;promašismo;promašite;promašiše
utemeljiti;utemeljim;utemeljiš;-;utemeljismo;utemeljite;utemeljiše
zakititi;zakitih;zakitiš;zakiti;zakitismo;zakitite;zakite
zapjevušiti;zapjevušim;zapjevušiš;zapjevuši;zapjevušismo;zapjevušite;zapjevuše
provrijedniti;provrijednim;provrijedniš;provrijedni;provrijednismo;provrijednite;provrijedniše
osumnjičiti;osumnjičih;osumnjiči;-;osumnjičismo;osumnjičiste;osumnjičiše
potražiti;potražim;potražiš;potraži;potražismo;potražite;potražiše
poružniti;poružnim;poružniš;poružni;poružnismo;poružnite;poružne
ispaliti;ispalim;ispališ;-;ispalismo;ispalite;ispališe
obrazložiti;obrazložim;obrazložiš;-;obrazložismo;obrazložite;obrazložiše
nabrojiti;nabrojim;nabrojiš;nabroji;nabrojismo;nabrojivši;nabroje
ugostiti;ugostim;ugostiš;ugosti;ugostismo;ugostite;ugostiše
obeštetiti;obeštetim;obeštetiš;obešteti;obeštetismo;obeštetite;obeštetiše
otkočiti;otkočih;otkočiš;otkoči;otkočismo;otkočiste;otkočiše
zlatiti;zlatim;zlatiš;zlaćaše;zlatimo;zlatite;zlate
prenaglasiti;prenaglasim;prenaglasiš;prenaglasi;prenaglasismo;prenaglasite;prenaglasiše
optužiti;optužim;optužiš;optuži;optužismo;optužite;optužiše
omršavjeti;omršavjeh;omršavje;omršavje;omršavjesmo;omršavjeste;omršavješe
rasuditi;rasudih;rasudiše;rasudi;rasudismo;rasudiste;rasude
proviriti;provirim;proviriš;proviri;provirismo;provirite;proviriše
vedriti;-;-;vedraše;vedrimo;vedrite;-
opremiti;opremih;opremiš;-;opremimo;opremiste;opremit
razveseliti;razveselih;razveseliš;neka razveseli;razveselismo;razveseliste;neka razvesele
srubiti;srubim;srubiš;srubi;srubismo;srubite;srubiše
podržati;-;-;-;-;-;-
propustiti;propustim;propustiš;-;propustismo;propustite;propustit
zajapuriti;zajapurim;zajapuri;-;zajapurismo;zajapurite;zajapurit
zdrobiti;zdrobih;zdrobiš;-;zdrobismo;zdrobiste;zdrobit
protutnjiti;protutnjim;protutnjiš;protutnji;protutnjismo;protutnjite;protutnjiše
pozajmiti;pozajmim;pozajmiš;pozajmi;pozajmismo;pozajmite;pozajmiše
sporiti;sporim;sporiš;sporaše;sporimo;sporite;-
paničariti;paničarah;paničaraše;paničari;paničarasmo;paničaraste;paničarahu
prestraviti;prestravim;prestravi;prestravi;prestravimo;prestravite;prestrave
tvoriti;tvorim;tvoriš;tvoraše;tvorimo;tvorite;tvorahu
prevreti;prevrim;prevriš;prevre;prevrimo;prevrite;prevret
prkositi;-;-;-;-;-;-
skalupiti;skalupim;skalupiš;skalupi;skalupismo;skalupite;skalupiše
kazniti;kaznim;kazniš;-;kaznismo;kaznite;kaznit
ugojiti;ugojim;ugojiš;ugoji;ugojismo;ugojite;ugojiše
odstraniti;odstranim;odstraniš;-;odstranismo;odstranite;odstranit
nadražiti;nadražim;nadražiš;-;nadražismo;nadražite;nadražit
umoliti;umolim;umoliš;-;umolismo;umolite;umolit
šarafiti;šarafljah;šarafljaše;šarafljaše;šarafljasmo;šarafljaste;šarafljahu
šepiriti;šepurim;šepuriš;šepuri;šepurimo;šepurite;šepire
zamagliti;zamaglih;zamagli;-;zamaglismo;zamaglite;zamagle
zapiljiti;zapiljih;zapiljiš;zapilji;zapiljismo;zapiljite;zapilje
požuriti;požurih;požuri;požuri;požurimo;požurite;požuriše
istražiti;istražim;istražiš;istraži;istražismo;istražite;istražiše
prokliziti;proklizim;prokliziš;proklizi;proklizismo;proklizite;prokliziše
naobraziti;naobrazih;naobrazaše;neka naobrazi;naobrazismo;naobraziste;neka naobraze
dosuditi;dosudim;dosudiš;-;dosudismo;dosudite;dosudit
napakostiti;napakostim;napakostiš;napakosti;napakostismo;napakostite;napakostiše
poplaviti;poplavih;-;-;poplavismo;poplaviste;poplavit
poblesaviti;poblesavim;poblesaviš;poblesavi;poblesavismo;poblesavite;poblesaviše
izgnjaviti;izgnjavim;izgnjaviš;izgnjavi;izgnjavismo;izgnjavite;izgnjaviše
priuštiti;priuštim;priuštiš;priušti;priuštismo;priuštite;priuštiše
osloniti;oslonim;osloniš;osloni;oslonismo;oslonite;osloniše
zazujati;zazujim;zazujiš;zazuji;zazujimo;zazujite;zazuje
ždrijebiti;ždrijebljah;ždrijebljaše;ždrijebljaše;ždrijebljasmo;ždrijebljaste;ždrijebljahu
zgrabiti;zgrabim;zgrabiš;zgrabi;zgrabismo;zgrabiste;zgrabiše
smzdjeti;smrdim;smrdiš;smrđaše;smrdimo;smrdite;smrde
škiljiti;škiljim;škiljiš;škiljaše;škiljimo;škiljite;škilje
postajati;postojim;postojiš;postaje;postojimo;postajte;postaju
proraditi;proradim;proradiš;proradi;proradismo;proradite;proradiše
zalahoriti;zalahorim;zalahoriš;zalahori;zalahorismo;zalahorite;zalahore
prokužiti;prokužim;prokužiš;prokuži;prokužismo;prokužite;prokužiše
ošugaviti;ošugavim;ošugaviš;ošugavi;ošugavismo;ošugavite;ošugaviše
zajedriti;zajedrim;zajedriš;zajedri;zajedrismo;zajedrite;zajedre
doživjeti;doživjeh;doživiš;doživje;doživjesmo;doživjeste;doživjet
krojiti;krojim;krojiš;kroji;krojimo;krojite;kroje
zavztjeti;zavrtjeh;zavrtje;zavrti;zavrtjesmo;zavrtjeste;zavrte
proishoditi;proishodim;proishodiš;proishođaše;proishodimo;proishodite;proishode
nacijediti;nacijedim;nacijediš;nacijedi;nacijedismo;nacijedite;nacijediše
zaviriti;zavirim;zaviriš;zaviri;zavirismo;zavirite;zaviriše
voditi;vođah;vodiš;vođaše;vođasmo;vođaste;vođahu
iznakaziti;iznakazim;iznakaziš;-;iznakazismo;iznakazite;iznakaziše
koričiti;koričah;koričaše;koriči;koričasmo;koričaste;koričahu
zakročiti;zakročih;zakroči;zakroči;zakročismo;zakročite;zakroče
glumiti;glumljah;glumljaše;glumljaše;glumljasmo;glumljaste;glumljahu
prihraniti;prihranim;prihraniš;prihrani;prihranismo;prihranite;prihraniše
domašiti;domaših;domašiš;domaši;domašismo;domašiste;domašiše
izbrusiti;izbrusih;izbrusi;-;izbrusismo;izbrusiste;izbrusiše
potamaniti;potamanim;potamaniš;potamani;potamanismo;potamanite;potamaniše
ojunačiti;ojunačih;ojunačiš;ojunači;ojunačismo;ojunačiste;ojunačiše
zapremiti;zapremih;zapremi;zapremi;zapremismo;zapremite;zapreme
dokoličiti;dokoličah;dokoličaše;dokoliči;dokoličasmo;dokoličaste;dokoličahu
pokaditi;pokadim;pokadiš;pokadi;pokadismo;pokadite;pokade
istočiti;istočih;istočiš;istoči;istočismo;istočiste;istočiše
izbaviti;izbavim;izbaviš;-;izbavismo;izbavite;izbavit
dopremiti;dopremim;dopremiš;dopremi;dopremismo;dopremite;dopremiše
orositi;orosim;orosiš;-;orosismo;orosite;orosiše
zglobiti;zglobim;zglobiš;zglobi;zglobismo;zglobite;zglobiše
prebroditi;prebrodim;prebrodiš;prebrodi;prebrodismo;prebrodite;prebrodiše
krvaviti;krvaljah;krvaljaše;krvavljaše;krvaljasmo;krvaljaste;krvaljahu
poseljačiti;poseljačih;poseljači;poseljači;poseljačismo;poseljačivši;poseljače
gviriti;gvirim;gviriš;gviri;gvirimo;gvirite;gvire
obraditi;obradim;obradiš;-;obradismo;obradite;obradiše
prostrijeliti;prostrijelim;prostrijeliš;prostrijeli;prostrijelismo;prostrijelite;prostrijeliše
oboljeti;oboljeh;oboliš;obolje;oboljesmo;oboljeste;oboljet
zaploviti;zaplovim;zaploviš;zaplovi;zaplovismo;zaplovite;zaplove
osmjeliti;osmjelim;osmjeliš;osmjeli;osmjelismo;osmjeliste;osmjeliše
dopratiti;dopratim;dopratiš;doprati;dopratismo;dopratite;dopratiše
umijesiti;umijesim;umijesiš;umijesi;umijesismo;umijesite;umijesiše
močiti;močah;močaše;moči;močasmo;močaste;močahu
tvrditi;tvrdim;tvrđaše;tvrđaše;tvrdimo;tvrdite;tvrđahu
tištati;tištim;tištiš;tištaše;tištimo;tištite;tištahu
prihvatiti;prihvatim;prihvatiš;-;prihvatismo;prihvatite;prihvatit
dostaviti;dostavim;dostaviš;dostavi;dostavismo;dostaviste;dostaviše
bojiti;bojah;bojiš;bojaše;bojimo;bojaste;boje
unakaziti;unakazih;unakaziš;neka unakazi;unakazismo;unakazite;neka unakaze
ogoljeti;ogoljeh;ogoliš;ogolje;ogoljesmo;ogoljeste;ogolješe
laštiti;laštim;laštiš;laštaše;laštimo;laštite;laštijahu
pokondiriti;pokondirim;pokondiriš;pokondiri;pokondirismo;pokondirite;pokondire
prizemljiti;prizemljim;prizemljiš;prizemlji;prizemljismo;prizemljite;prizemljiše
mučiti;mučah;mučiš;mučaše;mučasmo;mučaste;mučahu
stupiti;stupim;stupiš;-;stupismo;stupite;stupiše
zatajiti;zatajim;zatajiš;zataji;zatajismo;zatajite;zatajiše
nakriviti;nakrivih;nakriviš;-;nakrivismo;nakriviste;nakriviše
zaslužiti;zaslužim;zasluži;-;zaslužismo;zaslužite;zaslužit
veljeti;velim;veljaše;veljaše;velimo;velite;veljahu
zaslijepiti;zaslijepim;zaslijepi;-;zaslijepismo;zaslijepite;zaslijepe
poloviti;polovljah;polovljaše;polovljaše;polovljasmo;polovite;polovljahu
ovlažiti;ovlažih;ovlažiš;ovlaži;ovlažismo;ovlažiste;ovlaže
oporučiti;oporučih;oporučiš;oporuči;oporučismo;oporučiste;oporučiše
uskipjeti;uskipjeh;uskipje;uskipje;uskipjesmo;uskipjeste;uskipješe
zaklopiti;zaklopim;zaklopiš;zaklopi;zaklopismo;zaklopite;zaklope
razraditi;razradim;razradiš;-;razradismo;razradite;razradiše
isprašiti;isprašim;isprašiš;ispraši;isprašismo;isprašite;isprašiše
prosuditi;prosudim;prosudiš;prosudi;prosudismo;prosudite;prosudiše
ubrojiti;ubrojim;ubrojiš;neka ubroji;ubrojismo;ubrojite;neka ubroje
cigančiti;cigančah;cigančaše;ciganči;cigančasmo;cigančaste;cigančahu
mrčiti;mrčah;mrčaše;mrči;mrčasmo;mrčaste;mrčahu
ražaliti;ražalim;ražališ;ražali;ražalismo;ražalite;ražališe
izliječiti;izliječih;izliječiš;-;izliječismo;izliječite;izliječiše
zarubiti;zarubih;zarubi;-;zarubismo;zarubite;zarubit
platiti;platim;platiš;-;platismo;platite;platit
iskolačiti;iskolačih;iskolačiš;iskolači;iskolačismo;iskolačivši;iskolačiše
tulumariti;tulumarah;tulumaraše;tulumariše;tulumarasmo;tulumaraste;neka tulumare
trubiti;trubljah;trubljaše;trubljaše;trubljasmo;trubljaste;trubljahu
tuđiti;tuđim;tuđiš;tuđaše;tuđimo;tuđite;tuđe
raspoloviti;raspolovim;raspoloviš;raspolovi;raspolovismo;raspolovite;raspoloviše
zaspati;zaspim;zaspi;zaspa;zaspimo;zaspite;zaspat
rediti;redim;ređaše;redi;ređasmo;ređaste;ređahu
boriti;borim;boriš;boraše;borimo;borite;borahu
strpjeti;strpim;strpi;strpje;strpimo;strpite;strpe
usprotiviti;usprotivim;usprotiviš;usprotivi;usprotivismo;usprotivite;usprotiviše
rasplamsati;rasplamtjeh;rasplamsa;rasplamsa;rasplamtjesmo;rasplamtjeste;rasplamtješe
uloviti;ulovih;uloviš;-;ulovimo;ulovite;ulovit
plašiti;plašim;plašiš;plašaše;plašimo;plašite;plaše
zbratimiti;zbratimim;zbratimiš;zbratimi;zbratimismo;zbratimite;zbratime
odgojiti;odgojim;odgojiš;-;odgojismo;odgojite;odgojit
zapovjediti;zapovjedim;zapovjediš;zapovjedi;zapovjedismo;zapovjedite;zapovjede
pohraniti;pohranim;pohraniš;-;pohranismo;pohranite;pohranit
latiti;latim;latiš;lati;latismo;latite;latiše
pojuriti;pojurim;pojuriš;pojuri;pojurismo;pojurite;pojuriše
rastužiti;rastužih;rastužiš;-;rastužismo;rastužiste;rastuže
smanjiti;smanjim;smanjiš;-;smanjismo;smanjite;smanjit
zažariti;zažarim;zažariš;zažari;zažarismo;zažarite;zažariše
poplašiti;poplašim;poplaši;-;poplašismo;poplašite;poplaše
južiti;južim;južiš;juži;južimo;južite;juže
mariti;marim;mariš;maraše;marimo;marite;marahu
izraditi;izradih;izradiš;-;izradismo;izradiste;izradiše
zvučati;zvučah;zvučaše;zvuči;zvučasmo;zvučaste;zvučahu
zagnjaviti;zagnjavim;zagnjaviš;zagnjavi;zagnjavismo;zagnjavite;zagnjaviše
vidjeti;vidjeh;vidiš;vidje;vidjesmo;vidjeste;vidješe
privoljeti;privoljeh;privolje;privolje;privoljesmo;privoljeste;privolješe
kruniti;krunjah;krunjaše;krunjaše;krunjasmo;krunjaste;krunjahu
izučiti;izučih;izučiš;-;izučismo;izučiste;izučiše
okrijepiti;okrijepih;okrijepiš;-;okrijepismo;okrijepite;okrijepiše
podmjestiti;podmjestio;podmjestiš;podmjesti;podmjestismo;podmjestite;podmjestiše
uglaviti;uglavim;uglaviš;-;uglavismo;uglavite;uglaviše
razmisliti;razmislim;razmisliš;razmisli;razmislismo;razmislite;razmisliše
odobrovoljiti;odobrovoljim;odobrovoljiš;odobrovolji;odobrovoljismo;odobrovoljite;odobrovoljiše
poribiti;poribim;poribi;-;poribismo;poribite;poribe
pronalaziti;pronalažah;pronalažaše;pronalažaše;pronalažasmo;pronalažaste;pronalažahu
utuviti;utuvim;utuviš;utuvi;utuvismo;utuvite;utuviše
duljiti;duljah;duljiš;duljaše;duljimo;duljite;duljahu
uvriježiti;uvriježim;uvriježiš;-;uvriježismo;uvriježite;uvriježiše
zakolčiti;zakolčih;zakolči;zakolči;zakolčismo;zakolčite;zakolče
iskesiti;iskesih;iskesiš;iskesi;iskesismo;iskesiste;iskesiše
jednačiti;jednačah;jednačaše;jednači;jednačasmo;jednačaste;jednačahu
objesiti;objesim;objesiš;-;objesismo;objesiste;objesit
zaguliti;zagulim;zaguliš;-;zagulismo;zagulite;zagulit
obaviti;obavim;obaviš;obavije;obavismo;obavite;obavit
zaustiti;zaustim;zaustiš;zausti;zaustismo;zaustite;zaustiše
izbrojiti;izbrojim;izbrojiš;-;izbrojismo;izbrojite;izbrojit
prtiti;prćah;prtiš;prćaše;prćasmo;prćaste;prćahu
snažiti;snažim;snažiš;snaži;snažimo;snažite;snaže
propatiti;propatih;propatiš;neka propati;propatismo;propatiste;neka propate
lužiti;lužah;lužaše;luži;lužasmo;lužaste;lužahu
pomračiti;pomračih;pomračiš;pomrači;pomračismo;pomračivši;pomrače
brojati;brojah;brojaše;broji;brojasmo;brojaste;brojahu
pomlatiti;pomlatim;pomlatiš;pomlati;pomlatismo;pomlatite;pomlate
desiti;desim;desiš;desi;desismo;desite;desiše
skrpati;skrpim;skrpa;skrpa;skrpismo;skrpite;skrpiše
raskrojiti;raskrojim;raskrojiš;raskroji;raskrojismo;raskrojite;raskrojiše
zagladiti;zagladim;zagladiš;zagladi;zagladismo;zagladite;zagladiše
tržiti;tržah;tržaše;neka trži;tržasmo;tržaste;neka trže
zakloniti;zaklonim;zakloni;-;zaklonismo;zaklonite;zaklonit
odštetiti;odštetio;odštetiš;neka odšteti;odštetismo;odštetiste;neka odštete
oročiti;oročih;oroči;-;oročismo;oročiste;oročiše
uskratiti;uskratim;uskratiš;-;uskratismo;uskrativši;uskratiše
naceriti;nacerim;naceriš;naceri;nacerismo;nacerite;naceriše
poprimiti;poprimim;poprimiš;poprimi;poprimismo;poprimite;poprime
izmudriti;izmudrim;izmudriš;izmudri;izmudrismo;izmudrite;izmudriše
upaliti;upalim;upališ;-;upalismo;upaliste;upalit
hiniti;hinjah;hiniš;neka hini;hinjasmo;hinjaste;neka hine
saletjeti;saletjeh;saletje;saletje;saletjesmo;saletjeste;saletješe
prolebdjeti;prolebdjeh;prolebdje;prolebdje;prolebdjesmo;prolebdjeste;prolebdješe
kriještati;kriještim;kriještiš;kriješti;kriještimo;kriještite;kriješte
izletjeti;izletjeh;izletje;izletje;izletjesmo;izletjeste;izletješe
zakrvaviti;zakrvavih;zakrvavi;-;zakrvavismo;zakrvavite;zakrvavit
proglasiti;proglasim;proglasiš;-;proglasismo;proglasite;proglasit
ispraviti;ispravih;ispraviš;-;ispravismo;ispraviste;ispravit
baciti;bacim;baciš;-;bacismo;bacite;bacit
ugovoriti;ugovorim;ugovoriš;-;ugovorismo;ugovorite;ugovoriše
otpraviti;otpravih;otpraviš;neka otpravi;otpravimo;otpraviste;neka otprave
proburaziti;proburazim;proburaziš;proburazi;proburazismo;proburazite;proburaziše
obrubiti;obrubim;obrubi;-;obrubismo;obrubite;obrubit
odležati;odležim;odležiš;odleži;odležimo;odležite;odleže
posjetiti;posjetim;posjeti;-;posjetismo;posjetite;posjete
ujarmiti;ujarmim;ujarmiš;ujarmi;ujarmismo;ujarmite;ujarmiše
oprasiti;oprasih;oprasiš;oprasi;oprasismo;oprasiste;oprasiše
poseniliti;posenilim;poseniliš;posenili;posenilismo;posenilite;posenile
prosloviti;proslovim;prosloviš;proslovi;proslovismo;proslovite;prosloviše
prečistiti;prečistim;prečisti;-;prečistimo;prečistite;prečiste
vitoperiti;vitoperim;vitoperiš;vitoperi;vitoperimo;vitoperite;vitopere
probuditi;probudih;probudiš;-;probudimo;probudiste;probudit
predbilježiti;predbilježim;predbilježiš;predbilježi;predbilježismo;predbilježite;predbilježiše
opariti;oparim;opariš;-;oparismo;oparite;opariše
mutiti;mućah;mutiš;mućaše;mućasmo;mućaste;mućahu
brstiti;-;-;-;-;-;-
novačiti;novačih;novačiše;novačaše;novačismo;novačiste;neka novače
zboriti;zborim;zboriš;zbori;zborimo;zborite;zboraše
strašiti;straših;strašiš;strašaše;strašismo;strašiste;neka straše
ozariti;ozarih;ozariš;ozari;ozarismo;ozarivši;ozariše
zbaciti;zbacim;zbaciš;zbaci;zbacismo;zbacite;zbaciše
proživjeti;proživjeh;proživiš;proživje;proživjesmo;proživjeste;proživjet
benaviti;benavim;benavi;benavljaše;benavimo;benavite;benave
uploviti;uplovim;uploviš;uplovi;uplovismo;uplovite;uploviše
premostiti;premostim;premostiš;premosti;premostismo;premostite;premostiše
zašutjeti;zašutjeh;zašutje;zašutje;zašutjesmo;zašutjeste;zašutješe
zelenjeti;-;-;-;-;-;-
okomiti;okomim;okomiš;okomi;okomismo;okomiste;okomiše
oboriti;oborim;oboriš;-;oborismo;oborite;oborit
rogušiti;rogušim;rogušiš;roguši;rogušimo;rogušite;roguše
zagovoriti;zagovorim;zagovoriš;zagovori;zagovorismo;zagovorite;zagovoriše
stršiti;-;-;-;-;-;-
zadovoljiti;zadovoljim;zadovolji;zadovolji;zadovoljimo;zadovoljite;zadovolje
pomamiti;pomamim;pomamiš;pomami;pomamismo;pomamite;pomame
ozelenjeti;ozelenio;ozelenje;ozeleni;ozelenjesmo;ozelenjeste;ozelenješe
namamiti;namamit;namamiš;namami;namamismo;namamite;namamiše
klečati;klečah;klečiš;klečaše;klečasmo;klečaste;klečahu
kreveljiti;kreveljim;kreveljiš;krevelji;kreveljimo;kreveljite;krevelje
zalemiti;zalemim;zalemiš;zalemi;zalemismo;zalemite;zaleme
mrsiti;mršah;mršaše;mršaše;mršasmo;mršaste;mršahu
rastvoriti;rastvorih;rastvoriš;-;rastvorismo;rastvoriste;rastvorit
pustiti;pustih;pustiš;-;pustismo;pustite;pustit
iscrpiti;iscrpih;iscrpiš;-;iscrpismo;iscrpiste;iscrpiše
postaviti;postavim;postavi;-;postavismo;postavite;postave
odgoditi;odgodim;odgodiš;-;odgodismo;odgodite;odgodiše
osakatiti;osakatim;osakatiš;-;osakatismo;osakatite;osakatiše
zaglupiti;zaglupim;zaglupiš;zaglupi;zaglupismo;zaglupite;zaglupiše
preživjeti;preživjeh;preživiš;preživje;preživjesmo;preživjeste;preživjet
globiti;globljah;globljaše;globljaše;globljasmo;globljaste;globljahu
naslutiti;naslutim;naslutiš;nasluti;naslutismo;naslutite;naslutiše
tažiti;tažim;tažiš;taži;tažimo;tažite;taže
robiti;robljah;robljaše;robljaše;robljasmo;robljaste;robljahu
grditi;grđah;grđaše;grdi;grđasmo;grđaste;grđahu
pržiti;pržim;pržiš;pržaše;pržimo;pržite;pržit
oduljiti;oduljih;oduljiš;neka odulji;oduljismo;oduljiste;neka odulje
isplatiti;isplatim;isplatiš;-;isplatismo;isplatite;isplatit
istruliti;istrulim;istruliš;-;istrulismo;istrulite;istruliše
obodriti;obodrim;obodriš;obodri;obodrismo;obodrite;obodriše
galamiti;galamljah;galamljaše;galami;galamljasmo;galamljaste;galamljahu
kositi;košah;košaše;košaše;košasmo;košaste;košahu
strusiti;strusim;strusiš;strusi;strusismo;strusite;strusiše
presuditi;presudim;presudiš;presudi;presudismo;presudite;presudiše
nadrobiti;nadrobim;nadrobiš;nadrobi;nadrobismo;nadrobite;nadrobiše
odvažiti;odvažim;odvažiš;-;odvažismo;odvažiste;odvažiše
dojmiti;dojmim;dojmiš;dojmi;dojmismo;dojmiste;dojmiše
nadoknaditi;nadoknadim;nadoknadiš;nadoknadi;nadoknadismo;nadoknadite;nadoknadiše
kuditi;kuđah;kuđaše;kudi;kuđasmo;kuđaste;kuđahu
izlučiti;izlučih;izlučiš;-;izlučismo;izlučiste;izlučiše
pritajiti;pritajim;pritajiš;pritaji;pritajismo;pritajite;pritajiše
zapečatiti;zapečatih;zapečati;-;zapečatismo;zapečatite;zapečate
gorjeti;gorah;goriš;goraše;gorimo;gorite;gorahu
zatamnjeti;zatamnjeh;zatamnje;-;zatamnjesmo;zatamnjeste;zatamnješe
preneraziti;prenerazih;preneraziš;neka prenerazi;prenerazismo;preneraziste;neka preneraze
zakipjeti;zakipjeh;zakipi;zakipje;zakipjesmo;zakipite;zakipe
razlomiti;razlomim;razlomiš;-;razlomismo;razlomite;razlomit
stajati;stajem;stojaše;stojaše;stojmo;stojte;stojahu
ugnjaviti;ugnjavim;ugnjaviš;ugnjavi;ugnjavismo;ugnjavite;ugnjaviše
činiti;činjah;činjaše;činjaše;činimo;činite;činjahu
odjuriti;odjurim;odjuriš;odjuri;odjurismo;odjurite;odjuriše
strujiti;strujim;strujiš;strujaše;strujimo;strujite;strujahu
doklatariti;doklatarim;doklatariš;doklatari;doklatarismo;doklatarite;doklatariše
zanemariti;zanemarim;zanemariš;-;zanemarismo;zanemarite;zanemariše
šumiti;šumim;šumiš;-;šumimo;šumite;-
odletjeti;odletjeh;odletje;odletje;odletjesmo;odletjeste;odletješe
obratiti;obratih;obrati;-;obratismo;obratiste;obratit
bodriti;bodrah;bodraše;bodri;bodrasmo;bodraste;bodrahu
dokusuriti;dokusurim;dokusuriš;dokusuri;dokusurismo;dokusurite;dokusuriše
osmisliti;osmislim;osmisliš;-;osmislismo;osmislite;osmisliše
izjasniti;izjasnih;izjasniš;izjasni;izjasnismo;izjasniste;izjasniše
temeljiti;temeljim;temeljiš;temeljaše;temeljimo;temeljaste;temeljahu
dodvoriti;dodvorim;dodvoriš;dodvori;dodvorismo;dodvorite;dodvoriše
kreštati;kreštah;kreštiš;krešti;kreštasmo;kreštaste;kreštahu
navlačiti;navlačah;navlačaše;navlači;navlačasmo;navlačaste;navlačahu
pjevčiti;pjevčah;pjevčaše;pjevči;pjevčasmo;pjevčaste;pjevčahu
prorijediti;prorijedim;prorijediš;-;prorijedismo;prorijedite;prorijediše
proslaviti;proslavim;proslaviš;-;proslavismo;proslavite;proslavit
zgriješiti;zgriješim;zgriješiš;zgriješi;zgriješismo;zgriješite;zgriješiše
obujmiti;obujmim;obujmiš;obujmi;obujmismo;obujmite;obujmiše
potiti;potim;potiš;poćaše;potimo;potite;pote
nadomjestiti;nadomjestih;nadomjestiš;-;nadomjestismo;nadomjestiste;nadomjestiše
oblačiti;oblačah;oblačaše;oblači;oblačasmo;oblačaste;oblačahu
čučati;čučah;čučaše;čuči;čučasmo;čučaste;čučahu
odijeliti;odijelih;odijeliš;-;odijelimo;odijeliste;odijeliše
mzgoditi;mrgođah;mrgođaše;mrgodi;mrgođasmo;mrgođaste;mrgođahu
pokratiti;pokratim;pokratiš;pokrati;pokratismo;pokratite;pokrate
odspojiti;odspojih;odspojiš;neka odspoji;odspojismo;odspojiste;neka odspoje
utovariti;utovarit;utovariš;neka utovari;utovarismo;utovarite;neka utovare
iscijeliti;iscijelim;iscijeliš;iscijeli;iscijelismo;iscijelite;iscijeliše
unajmiti;unajmim;unajmiš;-;unajmismo;unajmite;unajmit
izvaliti;izvalim;izvališ;-;izvalimo;izvaliste;izvale
provjeriti;provjerim;provjeriš;provjeri;provjerismo;provjerite;provjeriše
ušeprtljati;-;-;-;-;-;-
provreti;provrim;provrije;provrije;provrimo;provrite;provriješe
mjeriti;mjerah;mjeriš;mjeraše;mjerasmo;mjeraste;mjerahu
zgnječiti;zgnječim;zgnječiš;zgnječi;zgnječismo;zgnječiste;zgnječiše
poskupjeti;poskupjeh;poskupi;poskupje;poskupjesmo;poskupite;poskupe
potprašiti;potprašim;potprašiš;potpraši;potprašismo;potprašite;potprašiše
gudjeti;guđah;guđaše;gudi;guđasmo;guđaste;guđahu
poletjeti;poletjeh;poleti;poletje;poletjesmo;poletite;polete
