nasukati;nasukan;nasukana;nasukano;nasukani;nasukane;nasukaju
ugrabiti;ugrabim;ugrabiš;ugrabi;ugrabismo;ugrabite;ugrabiše
uraditi;uradim;uradiš;uradi;uradismo;urađena;uradiše
roniti;ronjah;ronjaše;ronjaše;ronjasmo;ronjaste;ronjahu
grbavjeti;grbavljah;grbavila;grbavilo;grbavili;grbavile;grbaveći
liječiti;liječah;liječena;liječeno;liječeni;liječile;liječahu
nabubriti;nabubren;nabubrena;nabubreno;nabubrismo;nabubrite;nabubriše
žutiti;žućah;žutiš;žućaše;žućasmo;žućaste;žućahu
pamtiti;pamćen;pamćena;pamćeno;pamćeni;pamćene;pamćahu
kliziti;kližah;kližaše;kližaše;kližasmo;kližaste;klizeći
kržljaviti;kržljavljah;kržljavljaše;kržljavljaše;kržljavljasmo;kržljavljaste;kržljaveći
gorditi;gorđah;gorđaše;-;gorđasmo;gorđaste;gordeći
zasvoditi;zasvođen;zasvođena;zasvođeno;zasvođeni;zasvođene;zasvodiše
pljuštati;pljuštim;pljuštiš;pljuštaše;pljuštimo;pljuštite;pljuštahu
pretrpjeti;pretrpjeh;pretrpje;pretrpje;pretrpjesmo;pretrpjeste;pretrpješe
opustošiti;opustošim;opustošiš;-;opustošismo;opustošite;opustošit
izbečiti;izbečen;izbečena;izbečeno;izbečeni;izbečila;izbečiše
opaziti;opazim;opažena;opaženo;opaženi;opažene;opaziše
kumiti;kumljah;kumljaše;kumljaše;kumljasmo;kumljena;kumeći
izbijeljeti;izbijeljeh;izbijelje;izbijelje;izbijeljesmo;izbijeljeste;izbijelješe
njištati;njištim;njištiš;njištaše;njištimo;njištite;njišteći
krčiti;krčen;krčena;krčeno;krčeni;krčila;krčahu
štedjeti;štedim;štediš;šteđaše;štedimo;štedite;štede
grabiti;grabljen;grabljena;grabljeno;grabljeni;grabile;grabljahu
osušiti;osuših;osušiš;-;osušismo;osušiste;osušit
dubiti;dubljah;dubiš;dubljaše;dubljasmo;dubljaste;dube
nakaniti;nakanih;nakaniš;nakani;nakanismo;nakaniste;nakaniše
napustiti;napustim;napustiš;-;napustismo;napustite;napustit
prošupljiti;prošupljim;prošupljiš;prošuplji;prošupljismo;prošupljena;prošupljiše
dokrajčiti;dokrajčen;dokrajčena;dokrajči;dokrajčeni;dokrajčene;dokrajčiše
zdimiti;zdimim;zdimiš;zdimi;zdimismo;zdimljena;zdimiše
prislužiti;prislužim;prislužiš;prisluži;prislužismo;prislužena;prislužiše
sumnjičiti;sumnjičim;sumnjiči;sumnjičaše;sumnjičimo;sumnjičena;-
pobratimiti;pobratimljen;pobratimljena;pobratimljeno;pobratimljeni;pobratimljene;pobratimiše
ustraviti;ustravim;ustraviš;ustravi;ustravismo;ustravite;ustraviše
namrgoditi;namrgodim;namrgodiš;-;namrgodismo;namrgodite;namrgodit
odmoriti;odmorim;odmoriš;-;odmorismo;odmoriste;odmoriše
kuburiti;kuburim;kuburiš;kuburaše;kuburimo;kuburite;kubureći
plužiti;plužen;plužena;pluženo;pluženi;plužene;plužeći
ucijeniti;ucijenim;ucijeniš;ucijeni;ucijenismo;ucijenjena;ucijeniše
zaglaviti;zaglavih;zaglavi;-;zaglavismo;zaglaviste;zaglave
istopiti;istopljen;istoljena;istopljeno;istopljeni;istopljene;istopljena
juriti;jurim;juraše;juraše;jurimo;jurite;jurahu
pelješiti;pelješen;pelješena;pelješeno;pelješeni;pelješene;pelješeći
daviti;davljen;davljena;davljeno;davljeni;davljene;davljahu
zaplijeniti;zaplijenim;zaplijeni;-;zaplijenismo;zaplijenite;zaplijene
bazdjeti;bazdim;bazdiš;bažđaše;bazdimo;bazdite;bazde
podbrusiti;podbrušen;podbrušena;podbrušeno;podbrušeni;podbrušene;podbrusiše
donositi;donošen;donošena;donošeno;donošeni;donošene;donošahu
pribaviti;pribavim;pribaviš;pribavi;pribavismo;pribavljene;pribaviše
otupiti;otupljen;otupljena;otupljeno;otupljeni;otupljene;otupiše
obezvrijediti;obezvrijeđen;obezvrijeđena;obezvrijeđeno;obezvrijeđeni;obezvrijeđene;obezvrijediše
izjaviti;izjavim;izjavljena;izjavljeno;izjavljeni;izjavljene;izjaviše
izvještiti;izvještijen;izvještijena;izvještijeno;izvještijeni;izvještena;izvještiše
motriti;motren;motrena;motreno;motreni;motrene;motrahu
lučiti;lučen;lučena;lučeno;lučeni;lučile;lučeći
biseriti;biserim;biseriš;biseraše;biserimo;biserena;biserahu
uzemljiti;uzemljim;uzemljiš;uzemlji;uzemljismo;uzemljena;uzemljiše
rastaviti;rastavim;rastaviš;-;rastavismo;rastavite;rastavit
pijančevati;pijančio;pijančila;pijančilo;pijančili;pijančile;pijančeći
navlažiti;navlažim;navlažena;navlaženo;navlaženi;navlažile;navlaže
podvostručiti;podvostručen;podvostručena;podvostručeno;podvostručeni;podvostručio;podvostručiše
oprostiti;oprostih;oprostiš;-;oprostimo;oprostiste;oprostit
naglasiti;naglasim;naglasiš;-;naglasismo;naglasite;naglasiše
osnažiti;osnažih;osnažiš;-;osnažismo;osnažiste;osnažit
piliti;piljah;piliš;piljaše;piljasmo;piljaste;piljahu
poniziti;ponizim;ponizi;-;ponizismo;ponizite;ponize
pustošiti;pustošim;pustošiš;pustošaše;pustošimo;pustošena;pustoše
buditi;buđen;buđena;buđeno;buđeni;buđene;buđahu
naljutiti;naljućen;naljućena;naljućeno;naljućeni;naljućene;naljutiše
škrtariti;škrtarim;škrtariš;škrtaraše;škrtarimo;škrtarite;škrtare
mrcvariti;mrcvaren;mrcvarena;mrcvareno;mrcvareni;mrcvarila;mrcvareći
produžiti;produžim;produžiš;-;produžismo;produžite;produžit
izgaziti;izgazim;izgažena;izgaženo;izgaženi;izgažene;izgaziše
kročiti;kročih;kročiš;kroči;kročismo;kročiste;kročeći
razgorjeti;razgorjeh;razgorje;razgorje;razgorjesmo;razgorjeste;razgorješe
zasladiti;zasladih;zasladi;-;zasladismo;zasladite;zasladit
umiriti;umirim;umiriš;umiri;umirimo;umirite;umiriše
variti;varim;variš;vari;varimo;varena;vare
diviti;divaljah;divljaše;divljaše;divljasmo;divljaste;divljahu
proprtiti;proprtim;proprtiš;proprti;proprtismo;proprćena;proprtiše
izloviti;izlovljen;izlovljena;izlovljeno;izlovljeni;izlovljene;izloviše
štititi;štićah;štiti;štićaše;štićasmo;štićaste;štićahu
naplatiti;naplatih;naplatiš;-;naplatismo;naplatiste;naplatit
usuditi;usudih;usudi;usudi;usudismo;usudite;usudiše
zastraniti;zastranim;zastraniš;zastrani;zastranismo;zastranite;zastrane
škrobiti;škrobljah;škrobljaše;škrobljaše;škrobljasmo;škrobljena;škrobljahu
pogasiti;pogasim;pogasiš;-;pogasismo;pogasite;pogasit
istupiti;istupim;istupiš;istupi;istupismo;istupljene;istupiše
posuditi;posudim;posudiš;-;posudismo;posudite;posudit
razulariti;razularim;razulariš;-;razularismo;razularite;razularit
vapiti;vapljah;vapijaše;vapijaše;vapljasmo;vapljena;vapijahu
prispodobiti;prispodobim;prispodobi;prispodobi;prispodobimo;prispodobljena;prispodobe
nakositi;nakošen;nakošena;nakosi;nakošeni;nakošene;nakosiše
žmiriti;žmirim;žmiriš;žmiri;žmirimo;žmirite;žmire
izmjeriti;izmjerim;izmjeriš;-;izmjerismo;izmjeriste;izmjeriše
sudariti;sudarim;sudariš;sudari;sudarismo;sudarena;sudariše
otplatiti;otplaćen;otplaćena;otplaćeno;otplaćeni;otplaćene;otplatiše
otkupiti;otkupim;otkupiš;-;otkupismo;otkupite;otkupit
oplemeniti;oplemenim;oplemeniš;-;oplemenismo;oplemenite;oplemeniše
srušiti;srušim;srušiš;-;srušismo;srušite;srušit
prozboriti;prozborim;prozboriš;prozbori;prozborismo;prozborite;prozboriše
okriviti;okrivim;okrivljena;okrivljeno;okrivljeni;okrivljene;okriviše
protratiti;protratim;protratiš;protrati;protratismo;protraćena;protratiše
podrediti;podredih;podredi;-;podredismo;podrediste;podrediše
jašiti;jašah;jašena;jašeno;jašeni;jašene;jašahu
raspraviti;raspravim;raspraviš;raspravi;raspravismo;raspravljena;raspraviše
napojiti;napojim;napojena;napojeno;napojismo;napojene;napojiše
krečiti;krečen;krečena;krečeno;krečeni;krečile;krečeći
zasužnjiti;zasužnjim;zasužnjena;zasužnjeno;zasužnjismo;zasužnjene;zasužnjiše
rasprostraniti;rasprostranim;rasprostraniš;rasprostrani;rasprostranismo;rasprostranite;rasprostraniše
goropaditi;goropađah;goropađaše;goropadi;goropađasmo;goropađaste;goropadeći
uroniti;uronim;uroniš;uroni;uronismo;uronjena;uroniše
omrsiti;omrsim;omrsiš;omrsi;omrsismo;omrsite;omrsiše
razoriti;razorim;razoriš;-;razorismo;razorite;razorit
posvijetliti;posvijetlim;posvijetliš;posvijetli;posvijetlismo;posvijetljena;posvijetliše
jezditi;ježđah;ježđaše;jezdi;jezdimo;ježđaste;jezdeći
doraditi;doradim;doradiš;doradi;doradismo;dorađena;doradiše
zalaziti;zalažah;zalažaše;zalazi;zalažasmo;zalazite;zalazeći
zatrubiti;zatrubih;zatrubiš;neka zatrubi;zatrubismo;zatrubilo;neka zatrube
nagaziti;nagazim;nagaziš;nagazi;nagazismo;nagazite;nagažena
značiti;značah;značaše;znači;značasmo;značaste;značeći
prebaciti;prebacim;prebaciš;-;prebacismo;prebacite;prebacit
ugoniti;ugonjah;ugonjaše;ugonjaše;ugonjasmo;ugonjena;ugonjahu
mračiti;mračen;mračena;mračeno;mračeni;mračene;mračeći
izgladiti;izgladim;izgladiš;-;izgladismo;izgladite;izgladiše
premjeriti;premjerim;premjeriš;premjeri;premjerismo;premjerena;premjeriše
zaležati;zaležim;zaleži;zaleža;zaležimo;zaležite;zaleže
kočiti;kočen;kočena;kočeno;kočeni;kočili;kočeći
snužditi;snuždim;snuždiš;snuždi;snuždimo;snuždite;snužde
nagovijestiti;nagoviješten;nagoviještena;nagoviješteno;nagoviješteni;nagoviještene;nagovijestiše
cariniti;carinjen;carinjena;carinjeno;carinjeni;carinjene;carineći
osposobiti;osposobih;osposobiš;-;osposobismo;osposobiste;osposobiše
primijeniti;primijenim;primijeniš;-;primijenismo;primijenite;primijeniše
raščiniti;raščinim;raščini;-;raščinimo;raščinjena;-
željeti;željah;želiš;željaše;željasmo;željaste;željahu
roditi;rodim;rodiš;-;rodismo;rodite;rodit
obeskličiti;obeskličen;obeskličena;obeskličeno;obeskličeni;obeskličila;obeskličiše
odzvoniti;odzvonim;odzvoniš;odzvoni;odzvonismo;odzvonite;odzvoniše
žagoriti;žagorim;žagoriš;žagori;žagorimo;žagorite;žagoreći
prestupiti;prestupim;prestupiš;prestupi;prestupismo;prestupljena;prestupiše
podvlačiti;podvlačen;podvlačena;podvlačeno;podvlačeni;podvlačila;podvlačahu
drobiti;drobljah;drobljaše;drobljaše;drobljasmo;drobljene;drobljahu
prodangubiti;prodangubim;prodangubiš;prodangubi;prodangubismo;prodangubljena;prodangubiše
napučiti;napučih;napučiš;-;napučismo;napučiste;napučiše
razvidjeti;razvidjeh;razvidje;razvidje;razvidjesmo;razvidjeste;razvidješe
šutjeti;šutim;šućaše;šućaše;šućasmo;šutite;šutijahu
izmoliti;izmoljen;izmoliš;izmoljeno;izmoljeni;izmoljene;izmoliše
otpratiti;otpraćen;otpraćena;otpraćeno;otpraćeni;otpraćene;otpratiše
prenoćiti;prenoćim;prenoći;prenoći;prenoćimo;prenoćite;prenoće
zaoriti;zaorih;zaoriš;neka zaori;zaorismo;zaoriste;neka zaore
islabjeti;islabljen;islabljena;islabljeno;islabljeni;islabljene;islabješe
zavratiti;zavraćen;zavraćena;zavraćeno;zavraćeni;zavraćene;zavratiše
žariti;žaren;žarena;žarena;žareni;žarena;žareći
iskrčiti;iskrčen;iskrčena;iskrčeno;iskrčeni;iskrčila;iskrčiše
zasvinjiti;zasvinjen;zasvinjena;zasvinjeno;zasvinjeni;zasvinjene;zasvinjiše
natopiti;natopim;natopiš;-;natopismo;natopite;natopit
iskopnjeti;iskopnivši;iskopnila;iskopnilo;iskopnili;iskopnile;iskopnješe
svinjariti;svinjarim;svinjariš;svinjaraše;svinjarimo;svinjarite;svinjarahu
zatraviti;zatravim;zatraviš;zatravi;zatravljeni;zatravite;zatraviše
otfikariti;otfikaren;otfikarena;otfikareno;otfikareni;otfikarene;neka otfikare
otpustiti;otpustim;otpustiš;-;otpustismo;otpustite;otpustit
zagaziti;zagazim;zagaziš;zagazi;zagazismo;zagazite;zagaziše
namlatiti;namlaćen;namlaćena;namlaćeno;namlaćeni;namlaćene;namlatiše
zafitiljiti;zafitiljim;zafitiljiš;zafitilji;zafitiljismo;zafitiljena;zafitiljiše
osloviti;oslovljen;oslovljena;oslovljeno;oslovljeni;oslovila;osloviše
ugasiti;ugasih;ugasi;-;ugasismo;ugasiste;ugasit
obespraviti;obespravljen;obespravljena;obespravljeno;obespravljeni;obespravljene;obespraviše
zlopatiti;zlopaćah;zlopaćaše;zlopati;zlopaćasmo;zlopaćaste;zlopateći
osvjedočiti;osvjedočih;osvjedoči;-;osvjedočismo;osvjedočiste;osvjedočiše
odmamiti;odmamljen;odmamljena;odmamljeno;odmamljeni;odmamljene;odmamiše
priložiti;priložim;priložiš;-;priložismo;priložite;priložit
ponuditi;ponudim;ponudi;-;ponudismo;ponudite;ponudit
oplijeviti;oplijevljen;oplijevljena;oplijevljeno;oplijevljeni;oplijevljene;oplijeviše
okrečiti;okrečih;okrečena;okrečeno;okrečeni;okrečile;okrečiše
izdvojiti;izdvojih;izdvojena;izdvoji;izdvojeni;izdvojila;izdvojiše
bogohuliti;bogohuljah;bogohuljaše;bogohuljaše;bogohuljasmo;bogohuljaste;bogohuljahu
pomoliti;pomoljen;pomoljena;pomoljena;pomoljeni;pomoljena;pomoljena
sažaliti;sažalim;sažališ;sažali;sažalimo;sažalila;sažale
uknjižiti;uknjižim;uknjižiš;uknjiži;uknjižismo;uknjižene;uknjižiše
ophoditi;ophođah;ophođaše;ophodi;ophođasmo;ophođaste;ophodeći
uposliti;uposlim;uposliš;uposli;uposlismo;uposlite;uposliše
ukositi;ukosim;ukosiš;ukosi;ukosismo;ukošena;ukosiše
stidjeti;stidim;stidiš;stiđaše;stidimo;stidite;stide
zarobiti;zarobih;zarobi;-;zarobismo;zarobite;zarobit
iskamčiti;iskamčen;iskamčena;iskamčeno;iskamčeni;iskamčila;iskamčiše
izraniti;izranim;izranjena;izranjeno;izranismo;izranjene;izraniše
uškopiti;uškopim;uškopiš;uškopi;uškopismo;uškopljena;uškopiše
pozabaviti;pozabavim;pozabaviš;pozabavi;pozabavismo;pozabavljena;pozabaviše
vrhuniti;vrhunjah;vrhunjaše;vrhunjaše;vrhunjasmo;vrhunjena;vrhunjahu
zamijeniti;zamijenih;zamijeni;-;zamijenismo;zamijenite;zamijene
ublažiti;ublažim;ublažiš;-;ublažismo;ublažite;ublažiše
cincariti;cincarim;cincariš;cincaraše;cincarimo;cincarite;cincarahu
ispiriti;ispiren;ispirena;ispireno;ispireni;ispirene;ispiriše
razgrabiti;razgrabim;razgrabiš;-;razgrabismo;razgrabite;razgrabit
propušiti;propušim;propušiš;propuši;propušismo;propušite;propušiše
zatrčati;-;-;-;-;-;-
odoljeti;odoljeh;odolje;odolje;odoljesmo;odoljeste;odolješe
krupnjeti;krupnjah;krupnjaše;krupni;krupnjasmo;krupnjaste;krupneći
zabašuriti;zabašurim;zabašuriš;zabašuri;zabašurismo;zabašurite;zabašuriše
zabraniti;zabranim;zabraniš;-;zabranismo;zabranite;zabranit
potkrijepiti;potkrijepim;potkrijepiš;potkrijepi;potkrijepismo;potkrijepljena;potkrijepiše
gojiti;gojen;gojena;gojeno;gojeni;gojile;gojeći
pogubiti;pogubim;pogubiš;-;pogubismo;pogubite;pogubit
povlastiti;povlastim;povlastiš;-;povlastismo;povlastite;povlastiše
odskočiti;odskočim;odskočiš;odskoči;odskočismo;odskočiste;odskočiše
namečiti;namečih;namečiš;nameči;namečismo;namečiste;namečiše
timariti;timarit;timariš;timari;timarimo;timarena;timare
kraviti;kravljah;kravljaše;-;kravljasmo;kravljaste;kraveći
izdužiti;izdužih;izduži;-;izdužismo;izdužiste;izdužiše
podnositi;podnašah;podnošena;podnošena;podnašasmo;podnošena;podnoseći
okladiti;okladim;okladiš;okladi;okladismo;okladite;okladiše
sramiti;sramljah;sramljaše;sramljaše;sramljasmo;sramljaste;sramljahu
odstajati;odstojim;odstojiš;odstaji;odstojmo;odstajite;odstaje
ublatiti;ublaćen;ublaćena;ublaćeno;ublaćeni;ublaćene;neka ublate
podesiti;podešen;podešena;podešena;podešeni;podesila;podešena
sijedjeti;sijedim;sijediš;sijeđaše;sijedimo;sijedite;sijede
obučiti;obučih;obuči;-;obučismo;obučiste;obučiše
dohraniti;dohranjen;dohranjena;dohranjeno;dohranjeni;dohranjene;dohraniše
kočoperiti;kočoperah;kočoperaše;kočoperi;kočoperasmo;kočoperila;kočopereći
ispotiti;ispoćen;ispoćena;ispoćeno;ispoćeni;ispoćene;ispotiše
priviriti;privirim;priviriš;priviri;privirismo;privirite;priviriše
preplatiti;preplatim;preplatiš;-;preplatismo;preplatite;preplatit
splavariti;splavarim;splavariš;splavari;splavarimo;splavarite;splavare
izduljiti;izduljen;izduljena;izduljeno;izduljeni;izduljila;izduljiše
nabaviti;nabavljen;nabavljena;nabavi;nabavljeni;nabavljene;nabaljena
skloniti;sklonim;skloniš;skloni;sklonismo;sklonite;skloniše
zamoliti;zamolim;zamoliš;zamoli;zamolismo;zamolite;zamoliše
zakolačiti;zakolačen;zakolačena;zakolačena;zakolačeni;zakolačila;zakolačena
riješiti;riješim;riješiš;-;riješismo;riješite;riješiše
tokariti;tokarim;tokariš;tokari;tokarimo;tokarene;tokare
našušuriti;našušurih;našušuriš;našušureno;našušurismo;našušurene;našušuriše
plijeviti;plijevljen;plijevljena;plijevljeno;plijevljeni;plijevljene;plijeveći
prisjetiti;prisjetim;prisjetiš;prisjeti;prisjetismo;prisjetite;prisjetiše
rukovoditi;rukovodim;rukovodiš;rukovođaše;rukovodimo;rukovođena;rukovode
zarumeniti;-;-;-;-;-;zarumeniše
utoviti;utovim;utoviš;-;utovismo;utovite;utoviše
namiriti;namirih;namiriš;-;namirismo;namiriste;namirit
okusiti;okušen;okušena;okušeno;okušeni;okušene;okusiše
izjuriti;izjuren;izjurena;izjureno;izjureni;izjurila;izjuriše
haračiti;haračah;haračaše;-;haračasmo;haračila;haračeći
nuditi;nuđen;nuđena;nuđeno;nuđeni;nuđene;nude
dijeliti;dijeljen;dijeljena;dijeljeno;dijeljeni;dijeljene;dijeljahu
rastaliti;rastaljen;rastaljena;neka rastali;rastaljeni;rastalile;neka rastale
uložiti;uložim;uloži;-;uložismo;uložite;uložiše
dograditi;dograđen;dograđena;dograđeno;dograđeni;dogradila;dogradiše
najuriti;najurim;najurena;najureno;najureni;najurene;najuriše
zatočiti;zatočih;zatoči;-;zatočismo;zatočiste;zatoče
prištedjeti;prištedjeh;prištedje;prištedje;prištedjesmo;prišteđena;prištedješe
spržiti;spržim;sprži;sprži;spržimo;spržila;-
skupiti;skupih;skupiš;-;skupismo;skupite;skupit
izdijeliti;izdijeljen;izdijeljena;izdijeljeno;izdijeljeni;izdijeljene;izdijeliše
polučiti;polučen;polučena;polučena;polučeni;polučena;poluče
okoristiti;okorišten;okorištena;okorišteno;okorišteni;okorištene;okoristiše
kzstiti;-;-;-;-;-;-
prigotoviti;prigotovim;prigotoviš;prigotovi;prigotovismo;prigotovljena;prigotoviše
raseliti;raselim;raseliš;raseli;raselismo;raseljene;raseliše
nadživjeti;nadživljen;nadživljna;nadživljeno;nadživljeni;nadživljene;nadživljena
upropastiti;upropastih;upropastiš;-;upropastismo;upropastiste;upropastiše
iskočiti;iskočim;iskočiš;iskoči;iskočismo;iskočiste;iskočiše
prdjeti;-;-;-;-;-;-
ispriječiti;ispriječijen;ispriječijena;ispriječijeno;ispriječijeni;ispriječijene;ispriječiše
katraniti;katranjen;katranjena;katranjeno;katranjeni;katranjene;katraneći
plaviti;plavljah;plaviš;plavljaše;plavljasmo;plavljaste;plavit
širiti;širim;širi;širaše;širimo;širite;širahu
hoditi;hodim;hodiš;hođaše;hodimo;hodite;hode
odroditi;odrođen;odrođena;odrođeno;odrođeni;odrodila;odrodiše
plaziti;plažen;plažena;plaženo;plaženi;plažene;plažahu
dotužiti;dotužim;dotužiš;dotuži;dotužismo;dotužena;dotužiše
primijetiti;primijetim;primijetiš;primijeti;primijetismo;primijetite;primijetiše
namrviti;namrvljen;namrvljena;namrvljeno;namrvljeni;namrvljene;namrviše
šiziti;šižah;šižaše;šižaše;šižasmo;šižaste;šižahu
poljubiti;poljubljen;poljubljena;poljubljena;poljubljeni;poljubljena;poljubljena
procijeniti;procijenim;procijeniš;-;procijenismo;procijenite;procijeniše
isputiti;isputivši;ispućena;ispućeno;ispućeni;ispućene;isputiše
oljuštiti;oljušten;oljuštena;oljušteno;oljušteni;oljuštene;oljušte
prositi;prošah;prošaše;prošaše;prošasmo;prošena;prošahu
navaliti;navalih;navaljena;navaljeno;navaljeni;navaljene;navališe
slediti;sledim;slediš;sledi;sledismo;sledite;slediše
starjeti;-;stariš;-;-;-;-
prilijepiti;prilijepih;prilijepiš;prilijepi;prilijepismo;prilijepljeni;prilijepe
nahraniti;nahranih;nahraniš;-;nahranismo;nahraniste;nahrane
pronositi;pronošah;pronošaše;pronošaše;pronošasmo;pronošena;pronošahu
bančiti;bančah;bančaše;banči;bančasmo;bančaste;bančeći
rudjeti;rudim;rudiš;ruđaše;rudimo;rudite;-
sokoliti;sokoljah;sokoljaše;sokoljaše;sokoljasmo;sokoljena;sokoljahu
presoliti;presolim;presoliš;presoli;presolismo;presoljena;presoliše
izguliti;izguljen;izguljena;izguljeno;izguljeni;izguljene;izguliše
objasniti;objašnjen;objašnjena;objašnjeno;objašnjeni;objašnjene;objasniše
razonoditi;razonodim;razonodi;-;razonodimo;razonođena;-
ponoviti;ponovim;ponovi;-;ponovismo;ponovite;ponovit
predujmiti;predujmim;predujmiš;predujmi;predujmismo;predujmljena;predujmiše
tamniti;tamnim;tamniš;tamni;tamnimo;tamnjena;tamne
ovjeriti;ovjerih;ovjeri;-;ovjerismo;ovjeriste;ovjeriše
baždariti;baždarim;baždariš;baždari;baždarimo;baždarite;baždare
sramotiti;sramotim;sramotiš;sramoćaše;sramotimo;sramoćena;sramote
umutiti;umutim;umutiš;umuti;umutismo;umućena;umutiše
prokaditi;prokadim;prokadiš;prokadi;prokadismo;prokadite;prokadiše
jaloviti;jalovljah;jalovljaše;jalovljaše;jalovljasmo;jalovljaste;jaloveći
sniziti;snizim;sniziš;-;snizismo;snizite;sniziše
opružiti;opružen;opružena;opruženo;opruženi;opružila;opružiše
zatrudnjeti;zatrudnjeh;zatrudnje;zatrudnje;zatrudnjesmo;zatrudnjeste;zatrudnješe
cijediti;cijeđen;cijeđena;cijeđeno;cijeđasmo;cijedile;cijedeći
raniti;ranim;rani;-;ranismo;ranite;raniše
mrziti;mržah;mržaše;mrzi;mržasmo;mržaste;mržahu
produljiti;produljih;produljiš;-;produljismo;produljiste;produljiše
zavoljeti;zavoljevši;zavoljena;zavoljeno;zavoljeni;zavolljena;zavolješe
uznojiti;uznojim;uznojiš;-;uznojismo;uznojite;uznojit
nailaziti;nailažah;nailažaše;nailažaše;nailažasmo;nailažaste;nailažahu
navabiti;navabljen;navabljena;navabljeno;navabljeni;navabila;neka navabe
lijepiti;lijepljen;lijepljena;lijepljeno;lijepljeni;lijepljene;lijepeći
tajiti;tajah;tajiš;taji;tajimo;tajite;taje
oporaviti;oporavim;oporaviš;-;oporavismo;oporavite;oporaviše
izopćiti;izopćih;izopći;-;izopćismo;izopćiste;izopćiše
odomaćiti;odomaćivši;odomaćena;odomaćeno;odomaćeni;odomaćene;odomaćiše
opečatiti;opečaćen;opečaćena;opečaćeno;opečatismo;opečaćene;opečatiše
ljutiti;ljućen;ljućena;ljućeno;ljućeni;ljućene;ljućahu
oriti;orim;oriš;-;-;-;oreći
odvratiti;odvraćen;odvraćena;odvraćeno;odvraćeni;odvraćene;odvratiše
moriti;moren;morena;moreno;moreni;morene;moreći
zaštititi;zaštitih;zaštitiš;-;zaštitismo;zaštitiste;zaštitiše
podbaciti;podbačen;podbačena;podbačeno;podbačeni;podbačene;podbaciše
hlapiti;hlapljah;hlapljaše;hlapljaše;hlapljasmo;hlapljaste;hlapeći
mrijestiti;mriješćen;mriješćena;mriješćeno;mriješćeni;mriješćene;mrijesteći
joguniti;jogunjah;jogunjaše;joguni;jogunjasmo;jogunila;joguneći
orožiti;orožen;orožena;oroženo;oroženi;orožene;orožiše
naputiti;naputim;naputiš;-;naputismo;naputite;naputit
pogospoditi;pogospođen;pogospođena;pogospođeno;pogospođeni;pogospođene;pogospodiše
opredijeliti;opredijelim;opredijeliš;-;opredijelismo;opredijelite;opredijeliše
djetinjariti;djetinjarim;djetinjariš;djetinjari;djetinjarimo;djetinjarite;djetinjare
uveseliti;uveseljen;uveseljena;uveseljeno;uveseljeni;uveselila;neka uvesele
podariti;podaren;podarena;podareno;podareni;podarene;podariše
gnjaviti;gnjavljen;gnjavljena;gnjavljeno;gnjavljeni;gnjavila;gnjaveći
zbližiti;zbližen;zbližena;zbližena;zbliženi;zbližena;zbližena
debeliti;-;-;-;-;-;-
problijedjeti;problijedjeh;problijedje;problijedje;problijedjesmo;problijedjeste;problijedješe
otrčati;-;-;-;-;-;-
sanjariti;sanjarim;sanjariš;sanjari;sanjarimo;sanjarite;sanjare
blatiti;blaćah;blaćaše;blaćeno;blaćasmo;blaćaste;blaćahu
ispržiti;ispržih;isprži;-;ispržismo;ispržiste;ispržiše
gložiti;gložen;gložena;gloženo;gloženi;gložene;gložeći
poprijetiti;poprijetim;poprijeti;-;poprijetismo;poprijetite;poprijete
odgovoriti;odgovoren;odgovorena;odgovoreno;odgovoreni;odgovorene;odgovoriše
doumiti;doumim;doumiš;doumi;doumismo;doumljena;doumiše
rasporiti;rasporim;rasporiš;raspori;rasporismo;rasporena;rasporiše
zaoštriti;zaoštrih;zaoštri;-;zaoštrismo;zaoštriste;zaoštriše
naužiti;naužim;naužiš;nauži;naužismo;naužiste;naužiše
obaliti;obaljen;obaljena;obaljeno;obaljeni;obaljene;obališe
crveniti;crvenjah;crveniš;crvenjaše;crvenjasmo;crvenjaste;crvenjahu
izvlastiti;izvlašten;izvlaštena;izvlašteno;izvlašteni;izvlaštene;izvlastiše
proslijediti;proslijedim;proslijediš;-;proslijedismo;proslijedite;proslijediše
obilaziti;obilažah;obilažaše;obilažaše;obilažasmo;obilažaste;obilažahu
zažuboriti;zažuborim;zažuboriš;zažubori;zažuborismo;zažuborite;zažuboriše
približiti;približim;približiš;približi;približismo;približena;približiše
pograbiti;pograbim;pograbiš;-;pograbismo;pograbite;pograbit
nadvisiti;nadvišen;nadvišena;nadvišeno;nadvišeni;nadvišene;nadvisiše
nadgraditi;nadgrađen;nadgrađena;nadgrađeno;nadgrađeni;nadgrađene;nadgradiše
navratiti;navratim;navratiš;navrati;navratismo;navratite;navratiše
gariti;garen;garena;gareno;gareni;garene;gareći
osporiti;osporih;ospori;-;osporismo;osporiste;osporit
otarasiti;otarasim;otarasiš;otarasi;otarasismo;otarasite;otarasiše
ulaziti;ulazim;ulažaše;ulažaše;ulazimo;ulazite;ulažahu
iskaliti;iskalih;iskališ;-;iskalismo;iskaliste;iskališe
zastakliti;zastaklih;zastakli;-;zastaklismo;zastaklite;zastakle
podražiti;podražim;podražena;podraženo;podraženi;podražene;podražiše
skzšiti;skršim;skršiš;skrši;skršismo;skršite;skršiše
posijedjeti;posijedjeh;posijedi;posijedje;posijedjesmo;posijedite;posijede
