nasukati;nasukam;nasukaš;nasuka;nasukamo;nasukate;nasukaju
pabirčiti;pabirčim;pabirčiš;pabirči;pabirčimo;pabirčite;pabirče
svjedočiti;svjedočim;svjedočiš;svjedoči;svjedočimo;svjedočite;svjedoče
uspraviti;uspravim;uspraviš;uspravi;uspravimo;uspravite;usprave
osloboditi;oslobodim;oslobodiš;oslobodi;oslobodimo;oslobodite;oslobode
tužiti;tužim;tužiš;tuži;tužimo;tužite;tuže
slistiti;slistsem;slistseš;slistse;slistsemo;slistsete;slistsu
naložiti;naložim;naložiš;naloži;naložimo;naložite;nalože
buktjeti;buktjmem;buktjmeš;buktjme;buktjmemo;buktjmete;buktjmu
razbistriti;razbistrim;razbistriš;razbistri;razbistrimo;razbistrite;razbistre
pokunjiti;pokunjim;pokunjiš;pokunji;pokunjimo;pokunjite;pokunje
naživjeti;naživjmem;naživjmeš;naživjme;naživjmemo;naživjmete;naživjmu
namnožiti;namnožim;namnožiš;namnoži;namnožimo;namnožite;namnože
otrijezniti;otrijeznim;otrijezniš;otrijezni;otrijeznimo;otrijeznite;otrijezne
ognojiti;ognojim;ognojiš;ognoji;ognojimo;ognojite;ognoje
poručiti;poručim;poručiš;poruči;poručimo;poručite;poruče
gnojiti;gnojim;gnojiš;gnoji;gnojimo;gnojite;gnoje
ošteniti;oštenim;ošteniš;ošteni;oštenimo;oštenite;oštene
prisloniti;prislonim;prisloniš;prisloni;prislonimo;prislonite;prislone
prokrstariti;prokrstarim;prokrstariš;prokrstari;prokrstarimo;prokrstarite;prokrstare
bokoriti;bokorim;bokoriš;bokori;bokorimo;bokorite;bokore
provedriti;provedrim;provedriš;provedri;provedrimo;provedrite;provedre
onjušiti;onjušim;onjušiš;onjuši;onjušimo;onjušite;onjuše
uhititi;uhitim;uhitiš;uhiti;uhitimo;uhitite;uhite
laziti;lazim;laziš;lazi;lazimo;lazite;laze
napuniti;napunim;napuniš;napuni;napunimo;napunite;napune
zamoriti;zamorim;zamoriš;zamori;zamorimo;zamorite;zamore
ugrabiti;ugrabim;ugrabiš;ugrabi;ugrabimo;ugrabite;ugrabe
uraditi;uradim;uradiš;uradi;uradimo;uradite;urade
roniti;ronim;roniš;roni;ronimo;ronite;rone
grbavjeti;grbavjmem;grbavjmeš;grbavjme;grbavjmemo;grbavjmete;grbavjmu
liječiti;liječim;liječiš;liječi;liječimo;liječite;liječe
nabubriti;nabubrim;nabubriš;nabubri;nabubrimo;nabubrite;nabubre
žutiti;žutmem;žutmeš;žutme;žutmemo;žutmete;žutmu
pamtiti;pamtim;pamtiš;pamti;pamtimo;pamtite;pamte
kliziti;klizim;kliziš;klizi;klizimo;klizite;klize
kržljaviti;kržljavim;kržljaviš;kržljavi;kržljavimo;kržljavite;kržljave
gorditi;gordim;gordiš;gordi;gordimo;gordite;gorde
zasvoditi;zasvodim;zasvodiš;zasvodi;zasvodimo;zasvodite;zasvode
pljuštati;pljuštam;pljuštaš;pljušta;pljuštamo;pljuštate;pljuštaju
pretrpjeti;pretrpjmem;pretrpjmeš;pretrpjme;pretrpjmemo;pretrpjmete;pretrpjmu
opustošiti;opustošim;opustošiš;opustoši;opustošimo;opustošite;opustoše
izbečiti;izbečim;izbečiš;izbeči;izbečimo;izbečite;izbeče
opaziti;opazim;opaziš;opazi;opazimo;opazite;opaze
kumiti;kumim;kumiš;kumi;kumimo;kumite;kume
izbijeljeti;izbijeljmem;izbijeljmeš;izbijeljme;izbijeljmemo;izbijeljmete;izbijeljmu
njištati;njištam;njištaš;njišta;njištamo;njištate;njištaju
krčiti;krčim;krčiš;krči;krčimo;krčite;krče
štedjeti;štedjmem;štedjmeš;štedjme;štedjmemo;štedjmete;štedjmu
grabiti;grabim;grabiš;grabi;grabimo;grabite;grabe
osušiti;osušim;osušiš;osuši;osušimo;osušite;osuše
dubiti;dubim;dubiš;dubi;dubimo;dubite;dube
nakaniti;nakanim;nakaniš;nakani;nakanimo;nakanite;nakane
napustiti;napustsem;napustseš;napustse;napustsemo;napustsete;napustsu
prošupljiti;prošupljim;prošupljiš;prošuplji;prošupljimo;prošupljite;prošuplje
dokrajčiti;dokrajčim;dokrajčiš;dokrajči;dokrajčimo;dokrajčite;dokrajče
zdimiti;zdimim;zdimiš;zdimi;zdimimo;zdimite;zdime
prislužiti;prislužim;prislužiš;prisluži;prislužimo;prislužite;prisluže
sumnjičiti;sumnjičim;sumnjičiš;sumnjiči;sumnjičimo;sumnjičite;sumnjiče
pobratimiti;pobratimim;pobratimiš;pobratimi;pobratimimo;pobratimite;pobratime
ustraviti;ustravim;ustraviš;ustravi;ustravimo;ustravite;ustrave
namrgoditi;namrgodim;namrgodiš;namrgodi;namrgodimo;namrgodite;namrgode
odmoriti;odmorim;odmoriš;odmori;odmorimo;odmorite;odmore
kuburiti;kuburim;kuburiš;kuburi;kuburimo;kuburite;kubure
plužiti;plužim;plužiš;pluži;plužimo;plužite;pluže
ucijeniti;ucijenim;ucijeniš;ucijeni;ucijenimo;ucijenite;ucijene
zaglaviti;zaglavim;zaglaviš;zaglavi;zaglavimo;zaglavite;zaglave
istopiti;istopim;istopiš;istopi;istopimo;istopite;istope
juriti;jurim;juriš;juri;jurimo;jurite;jure
pelješiti;pelješim;pelješiš;pelješi;pelješimo;pelješite;pelješe
daviti;davim;daviš;davi;davimo;davite;dave
zaplijeniti;zaplijenim;zaplijeniš;zaplijeni;zaplijenimo;zaplijenite;zaplijene
bazdjeti;bazdjmem;bazdjmeš;bazdjme;bazdjmemo;bazdjmete;bazdjmu
podbrusiti;podbrusim;podbrusiš;podbrusi;podbrusimo;podbrusite;podbruse
donositi;donosim;donosiš;donosi;donosimo;donosite;donose
pribaviti;pribavim;pribaviš;pribavi;pribavimo;pribavite;pribave
otupiti;otupim;otupiš;otupi;otupimo;otupite;otupe
obezvrijediti;obezvrijedim;obezvrijediš;obezvrijedi;obezvrijedimo;obezvrijedite;obezvrijede
izjaviti;izjavim;izjaviš;izjavi;izjavimo;izjavite;izjave
izvještiti;izvještim;izvještiš;izvješti;izvještimo;izvještite;izvješte
motriti;motrim;motriš;motri;motrimo;motrite;motre
lučiti;lučim;lučiš;luči;lučimo;lučite;luče
biseriti;biserim;biseriš;biseri;biserimo;biserite;bisere
uzemljiti;uzemljim;uzemljiš;uzemlji;uzemljimo;uzemljite;uzemlje
rastaviti;rastavim;rastaviš;rastavi;rastavimo;rastavite;rastave
pijančevati;pijančevam;pijančevaš;pijančeva;pijančevamo;pijančevate;pijančevaju
navlažiti;navlažim;navlažiš;navlaži;navlažimo;navlažite;navlaže
podvostručiti;podvostručim;podvostručiš;podvostruči;podvostručimo;podvostručite;podvostruče
oprostiti;oprostsem;oprostseš;oprostse;oprostsemo;oprostsete;oprostsu
naglasiti;naglasim;naglasiš;naglasi;naglasimo;naglasite;naglase
osnažiti;osnažim;osnažiš;osnaži;osnažimo;osnažite;osnaže
piliti;pilim;piliš;pili;pilimo;pilite;pile
poniziti;ponizim;poniziš;ponizi;ponizimo;ponizite;ponize
pustošiti;pustošim;pustošiš;pustoši;pustošimo;pustošite;pustoše
buditi;budim;budiš;budi;budimo;budite;bude
naljutiti;naljutmem;naljutmeš;naljutme;naljutmemo;naljutmete;naljutmu
škrtariti;škrtarim;škrtariš;škrtari;škrtarimo;škrtarite;škrtare
mrcvariti;mrcvarim;mrcvariš;mrcvari;mrcvarimo;mrcvarite;mrcvare
produžiti;produžim;produžiš;produži;produžimo;produžite;produže
izgaziti;izgazim;izgaziš;izgazi;izgazimo;izgazite;izgaze
kročiti;kročim;kročiš;kroči;kročimo;kročite;kroče
razgorjeti;razgorjmem;razgorjmeš;razgorjme;razgorjmemo;razgorjmete;razgorjmu
zasladiti;zasladim;zasladiš;zasladi;zasladimo;zasladite;zaslade
umiriti;umirim;umiriš;umiri;umirimo;umirite;umire
variti;varim;variš;vari;varimo;varite;vare
diviti;divim;diviš;divi;divimo;divite;dive
proprtiti;proprtim;proprtiš;proprti;proprtimo;proprtite;proprte
izloviti;izlovim;izloviš;izlovi;izlovimo;izlovite;izlove
štititi;štitim;štitiš;štiti;štitimo;štitite;štite
naplatiti;naplatim;naplatiš;naplati;naplatimo;naplatite;naplate
usuditi;usudim;usudiš;usudi;usudimo;usudite;usude
zastraniti;zastranim;zastraniš;zastrani;zastranimo;zastranite;zastrane
škrobiti;škrobim;škrobiš;škrobi;škrobimo;škrobite;škrobe
pogasiti;pogasim;pogasiš;pogasi;pogasimo;pogasite;pogase
istupiti;istupim;istupiš;istupi;istupimo;istupite;istupe
posuditi;posudim;posudiš;posudi;posudimo;posudite;posude
razulariti;razularim;razulariš;razulari;razularimo;razularite;razulare
vapiti;vapim;vapiš;vapi;vapimo;vapite;vape
prispodobiti;prispodobim;prispodobiš;prispodobi;prispodobimo;prispodobite;prispodobe
nakositi;nakosim;nakosiš;nakosi;nakosimo;nakosite;nakose
žmiriti;žmirim;žmiriš;žmiri;žmirimo;žmirite;žmire
izmjeriti;izmjerim;izmjeriš;izmjeri;izmjerimo;izmjerite;izmjere
sudariti;sudarim;sudariš;sudari;sudarimo;sudarite;sudare
otplatiti;otplatim;otplatiš;otplati;otplatimo;otplatite;otplate
otkupiti;otkupim;otkupiš;otkupi;otkupimo;otkupite;otkupe
oplemeniti;oplemenim;oplemeniš;oplemeni;oplemenimo;oplemenite;oplemene
srušiti;srušim;srušiš;sruši;srušimo;srušite;sruše
prozboriti;prozborim;prozboriš;prozbori;prozborimo;prozborite;prozbore
okriviti;okrivim;okriviš;okrivi;okrivimo;okrivite;okrive
protratiti;protratim;protratiš;protrati;protratimo;protratite;protrate
podrediti;podredim;podrediš;podredi;podredimo;podredite;podrede
jašiti;jašim;jašiš;jaši;jašimo;jašite;jaše
raspraviti;raspravim;raspraviš;raspravi;raspravimo;raspravite;rasprave
napojiti;napojim;napojiš;napoji;napojimo;napojite;napoje
krečiti;krečim;krečiš;kreči;krečimo;krečite;kreče
zasužnjiti;zasužnjim;zasužnjiš;zasužnji;zasužnjimo;zasužnjite;zasužnje
rasprostraniti;rasprostranim;rasprostraniš;rasprostrani;rasprostranimo;rasprostranite;rasprostrane
goropaditi;goropadim;goropadiš;goropadi;goropadimo;goropadite;goropade
uroniti;uronim;uroniš;uroni;uronimo;uronite;urone
omrsiti;omrsim;omrsiš;omrsi;omrsimo;omrsite;omrse
razoriti;razorim;razoriš;razori;razorimo;razorite;razore
posvijetliti;posvijetlim;posvijetliš;posvijetli;posvijetlimo;posvijetlite;posvijetle
jezditi;jezdim;jezdiš;jezdi;jezdimo;jezdite;jezde
doraditi;doradim;doradiš;doradi;doradimo;doradite;dorade
zalaziti;zalazim;zalaziš;zalazi;zalazimo;zalazite;zalaze
zatrubiti;zatrubim;zatrubiš;zatrubi;zatrubimo;zatrubite;zatrube
nagaziti;nagazim;nagaziš;nagazi;nagazimo;nagazite;nagaze
značiti;značim;značiš;znači;značimo;značite;znače
prebaciti;prebacim;prebaciš;prebaci;prebacimo;prebacite;prebace
ugoniti;ugonim;ugoniš;ugoni;ugonimo;ugonite;ugone
mračiti;mračim;mračiš;mrači;mračimo;mračite;mrače
izgladiti;izgladim;izgladiš;izgladi;izgladimo;izgladite;izglade
premjeriti;premjerim;premjeriš;premjeri;premjerimo;premjerite;premjere
zaležati;zaležam;zaležaš;zaleža;zaležamo;zaležate;zaležaju
kočiti;kočim;kočiš;koči;kočimo;kočite;koče
snužditi;snuždim;snuždiš;snuždi;snuždimo;snuždite;snužde
nagovijestiti;nagovijestsem;nagovijestseš;nagovijestse;nagovijestsemo;nagovijestsete;nagovijestsu
cariniti;carinim;cariniš;carini;carinimo;carinite;carine
osposobiti;osposobim;osposobiš;osposobi;osposobimo;osposobite;osposobe
primijeniti;primijenim;primijeniš;primijeni;primijenimo;primijenite;primijene
raščiniti;raščinim;raščiniš;raščini;raščinimo;raščinite;raščine
željeti;željmem;željmeš;željme;željmemo;željmete;željmu
roditi;rodim;rodiš;rodi;rodimo;rodite;rode
obeskličiti;obeskličim;obeskličiš;obeskliči;obeskličimo;obeskličite;obeskliče
odzvoniti;odzvonim;odzvoniš;odzvoni;odzvonimo;odzvonite;odzvone
žagoriti;žagorim;žagoriš;žagori;žagorimo;žagorite;žagore
prestupiti;prestupim;prestupiš;prestupi;prestupimo;prestupite;prestupe
podvlačiti;podvlačim;podvlačiš;podvlači;podvlačimo;podvlačite;podvlače
drobiti;drobim;drobiš;drobi;drobimo;drobite;drobe
prodangubiti;prodangubim;prodangubiš;prodangubi;prodangubimo;prodangubite;prodangube
napučiti;napučim;napučiš;napuči;napučimo;napučite;napuče
razvidjeti;razvidjmem;razvidjmeš;razvidjme;razvidjmemo;razvidjmete;razvidjmu
šutjeti;šutjmem;šutjmeš;šutjme;šutjmemo;šutjmete;šutjmu
izmoliti;izmolim;izmoliš;izmoli;izmolimo;izmolite;izmole
otpratiti;otpratim;otpratiš;otprati;otpratimo;otpratite;otprate
prenoćiti;prenoćikem;prenoćikeš;prenoćike;prenoćikemo;prenoćikete;prenoćiku
zaoriti;zaorim;zaoriš;zaori;zaorimo;zaorite;zaore
islabjeti;islabjmem;islabjmeš;islabjme;islabjmemo;islabjmete;islabjmu
zavratiti;zavratim;zavratiš;zavrati;zavratimo;zavratite;zavrate
žariti;žarim;žariš;žari;žarimo;žarite;žare
iskrčiti;iskrčim;iskrčiš;iskrči;iskrčimo;iskrčite;iskrče
zasvinjiti;zasvinjim;zasvinjiš;zasvinji;zasvinjimo;zasvinjite;zasvinje
natopiti;natopim;natopiš;natopi;natopimo;natopite;natope
iskopnjeti;iskopnjmem;iskopnjmeš;iskopnjme;iskopnjmemo;iskopnjmete;iskopnjmu
svinjariti;svinjarim;svinjariš;svinjari;svinjarimo;svinjarite;svinjare
zatraviti;zatravim;zatraviš;zatravi;zatravimo;zatravite;zatrave
otfikariti;otfikarim;otfikariš;otfikari;otfikarimo;otfikarite;otfikare
otpustiti;otpustsem;otpustseš;otpustse;otpustsemo;otpustsete;otpustsu
zagaziti;zagazim;zagaziš;zagazi;zagazimo;zagazite;zagaze
namlatiti;namlatim;namlatiš;namlati;namlatimo;namlatite;namlate
zafitiljiti;zafitiljim;zafitiljiš;zafitilji;zafitiljimo;zafitiljite;zafitilje
osloviti;oslovim;osloviš;oslovi;oslovimo;oslovite;oslove
ugasiti;ugasim;ugasiš;ugasi;ugasimo;ugasite;ugase
obespraviti;obespravim;obespraviš;obespravi;obespravimo;obespravite;obesprave
zlopatiti;zlopatim;zlopatiš;zlopati;zlopatimo;zlopatite;zlopate
osvjedočiti;osvjedočim;osvjedočiš;osvjedoči;osvjedočimo;osvjedočite;osvjedoče
odmamiti;odmamim;odmamiš;odmami;odmamimo;odmamite;odmame
priložiti;priložim;priložiš;priloži;priložimo;priložite;prilože
ponuditi;ponudim;ponudiš;ponudi;ponudimo;ponudite;ponude
oplijeviti;oplijevim;oplijeviš;oplijevi;oplijevimo;oplijevite;oplijeve
okrečiti;okrečim;okrečiš;okreči;okrečimo;okrečite;okreče
izdvojiti;izdvojim;izdvojiš;izdvoji;izdvojimo;izdvojite;izdvoje
bogohuliti;bogohulim;bogohuliš;bogohuli;bogohulimo;bogohulite;bogohule
pomoliti;pomolim;pomoliš;pomoli;pomolimo;pomolite;pomole
sažaliti;sažalim;sažališ;sažali;sažalimo;sažalite;sažale
uknjižiti;uknjižim;uknjižiš;uknjiži;uknjižimo;uknjižite;uknjiže
ophoditi;ophodim;ophodiš;ophodi;ophodimo;ophodite;ophode
uposliti;uposlim;uposliš;uposli;uposlimo;uposlite;uposle
ukositi;ukosim;ukosiš;ukosi;ukosimo;ukosite;ukose
stidjeti;stidjsem;stidjseš;stidjse;stidjsemo;stidjsete;stidjsu
zarobiti;zarobim;zarobiš;zarobi;zarobimo;zarobite;zarobe
iskamčiti;iskamčim;iskamčiš;iskamči;iskamčimo;iskamčite;iskamče
izraniti;izranim;izraniš;izrani;izranimo;izranite;izrane
uškopiti;uškopim;uškopiš;uškopi;uškopimo;uškopite;uškope
pozabaviti;pozabavim;pozabaviš;pozabavi;pozabavimo;pozabavite;pozabave
vrhuniti;vrhunim;vrhuniš;vrhuni;vrhunimo;vrhunite;vrhune
zamijeniti;zamijenim;zamijeniš;zamijeni;zamijenimo;zamijenite;zamijene
ublažiti;ublažim;ublažiš;ublaži;ublažimo;ublažite;ublaže
cincariti;cincarim;cincariš;cincari;cincarimo;cincarite;cincare
ispiriti;ispirim;ispiriš;ispiri;ispirimo;ispirite;ispire
razgrabiti;razgrabim;razgrabiš;razgrabi;razgrabimo;razgrabite;razgrabe
propušiti;propušim;propušiš;propuši;propušimo;propušite;propuše
zatrčati;zatrčam;zatrčaš;zatrča;zatrčamo;zatrčate;zatrčaju
odoljeti;odoljmem;odoljmeš;odoljme;odoljmemo;odoljmete;odoljmu
krupnjeti;krupnjmem;krupnjmeš;krupnjme;krupnjmemo;krupnjmete;krupnjmu
zabašuriti;zabašurim;zabašuriš;zabašuri;zabašurimo;zabašurite;zabašure
zabraniti;zabranim;zabraniš;zabrani;zabranimo;zabranite;zabrane
potkrijepiti;potkrijepim;potkrijepiš;potkrijepi;potkrijepimo;potkrijepite;potkrijepe
gojiti;gojim;gojiš;goji;gojimo;gojite;goje
pogubiti;pogubim;pogubiš;pogubi;pogubimo;pogubite;pogube
povlastiti;povlastsem;povlastseš;povlastse;povlastsemo;povlastsete;povlastsu
odskočiti;odskočim;odskočiš;odskoči;odskočimo;odskočite;odskoče
namečiti;namečim;namečiš;nameči;namečimo;namečite;nameče
timariti;timarim;timariš;timari;timarimo;timarite;timare
kraviti;kravim;kraviš;kravi;kravimo;kravite;krave
izdužiti;izdužim;izdužiš;izduži;izdužimo;izdužite;izduže
podnositi;podnosim;podnosiš;podnosi;podnosimo;podnosite;podnose
okladiti;okladim;okladiš;okladi;okladimo;okladite;oklade
sramiti;sramim;sramiš;srami;sramimo;sramite;srame
odstajati;odstajam;odstajaš;odstaja;odstajamo;odstajate;odstajaju
ublatiti;ublatim;ublatiš;ublati;ublatimo;ublatite;ublate
podesiti;podesim;podesiš;podesi;podesimo;podesite;podese
sijedjeti;sijedjmem;sijedjmeš;sijedjme;sijedjmemo;sijedjmete;sijedjmu
obučiti;obučim;obučiš;obuči;obučimo;obučite;obuče
dohraniti;dohranim;dohraniš;dohrani;dohranimo;dohranite;dohrane
kočoperiti;kočoperim;kočoperiš;kočoperi;kočoperimo;kočoperite;kočopere
ispotiti;ispotim;ispotiš;ispoti;ispotimo;ispotite;ispote
priviriti;privirim;priviriš;priviri;privirimo;privirite;privire
preplatiti;preplatim;preplatiš;preplati;preplatimo;preplatite;preplate
splavariti;splavarim;splavariš;splavari;splavarimo;splavarite;splavare
izduljiti;izduljim;izduljiš;izdulji;izduljimo;izduljite;izdulje
nabaviti;nabavim;nabaviš;nabavi;nabavimo;nabavite;nabave
skloniti;sklonim;skloniš;skloni;sklonimo;sklonite;sklone
zamoliti;zamolim;zamoliš;zamoli;zamolimo;zamolite;zamole
zakolačiti;zakolačim;zakolačiš;zakolači;zakolačimo;zakolačite;zakolače
riješiti;riješim;riješiš;riješi;riješimo;riješite;riješe
tokariti;tokarim;tokariš;tokari;tokarimo;tokarite;tokare
našušuriti;našušurim;našušuriš;našušuri;našušurimo;našušurite;našušure
plijeviti;plijevim;plijeviš;plijevi;plijevimo;plijevite;plijeve
prisjetiti;prisjetmem;prisjetmeš;prisjetme;prisjetmemo;prisjetmete;prisjetmu
rukovoditi;rukovodim;rukovodiš;rukovodi;rukovodimo;rukovodite;rukovode
zarumeniti;zarumenim;zarumeniš;zarumeni;zarumenimo;zarumenite;zarumene
utoviti;utovim;utoviš;utovi;utovimo;utovite;utove
namiriti;namirim;namiriš;namiri;namirimo;namirite;namire
okusiti;okusim;okusiš;okusi;okusimo;okusite;okuse
izjuriti;izjurim;izjuriš;izjuri;izjurimo;izjurite;izjure
haračiti;haračim;haračiš;harači;haračimo;haračite;harače
nuditi;nudim;nudiš;nudi;nudimo;nudite;nude
dijeliti;dijelim;dijeliš;dijeli;dijelimo;dijelite;dijele
rastaliti;rastalim;rastališ;rastali;rastalimo;rastalite;rastale
uložiti;uložim;uložiš;uloži;uložimo;uložite;ulože
dograditi;dogradim;dogradiš;dogradi;dogradimo;dogradite;dograde
najuriti;najurim;najuriš;najuri;najurimo;najurite;najure
zatočiti;zatočim;zatočiš;zatoči;zatočimo;zatočite;zatoče
prištedjeti;prištedjmem;prištedjmeš;prištedjme;prištedjmemo;prištedjmete;prištedjmu
spržiti;spržim;spržiš;sprži;spržimo;spržite;sprže
skupiti;skupim;skupiš;skupi;skupimo;skupite;skupe
izdijeliti;izdijelim;izdijeliš;izdijeli;izdijelimo;izdijelite;izdijele
polučiti;polučim;polučiš;poluči;polučimo;polučite;poluče
okoristiti;okoristsem;okoristseš;okoristse;okoristsemo;okoristsete;okoristsu
kzstiti;kzstsem;kzstseš;kzstse;kzstsemo;kzstsete;kzstsu
prigotoviti;prigotovim;prigotoviš;prigotovi;prigotovimo;prigotovite;prigotove
raseliti;raselim;raseliš;raseli;raselimo;raselite;rasele
nadživjeti;nadživjmem;nadživjmeš;nadživjme;nadživjmemo;nadživjmete;nadživjmu
upropastiti;upropastsem;upropastseš;upropastse;upropastsemo;upropastsete;upropastsu
iskočiti;iskočim;iskočiš;iskoči;iskočimo;iskočite;iskoče
prdjeti;prdjmem;prdjmeš;prdjme;prdjmemo;prdjmete;prdjmu
ispriječiti;ispriječim;ispriječiš;ispriječi;ispriječimo;ispriječite;ispriječe
katraniti;katranim;katraniš;katrani;katranimo;katranite;katrane
plaviti;plavim;plaviš;plavi;plavimo;plavite;plave
širiti;širim;širiš;širi;širimo;širite;šire
hoditi;hodim;hodiš;hodi;hodimo;hodite;hode
odroditi;odrodim;odrodiš;odrodi;odrodimo;odrodite;odrode
plaziti;plazim;plaziš;plazi;plazimo;plazite;plaze
dotužiti;dotužim;dotužiš;dotuži;dotužimo;dotužite;dotuže
primijetiti;primijetmem;primijetmeš;primijetme;primijetmemo;primijetmete;primijetmu
namrviti;namrvim;namrviš;namrvi;namrvimo;namrvite;namrve
šiziti;šizim;šiziš;šizi;šizimo;šizite;šize
poljubiti;poljubim;poljubiš;poljubi;poljubimo;poljubite;poljube
procijeniti;procijenim;procijeniš;procijeni;procijenimo;procijenite;procijene
isputiti;isputmem;isputmeš;isputme;isputmemo;isputmete;isputmu
oljuštiti;oljuštim;oljuštiš;oljušti;oljuštimo;oljuštite;oljušte
prositi;prosim;prosiš;prosi;prosimo;prosite;prose
navaliti;navalim;navališ;navali;navalimo;navalite;navale
slediti;sledim;slediš;sledi;sledimo;sledite;slede
starjeti;starjmem;starjmeš;starjme;starjmemo;starjmete;starjmu
prilijepiti;prilijepim;prilijepiš;prilijepi;prilijepimo;prilijepite;prilijepe
nahraniti;nahranim;nahraniš;nahrani;nahranimo;nahranite;nahrane
pronositi;pronosim;pronosiš;pronosi;pronosimo;pronosite;pronose
bančiti;bančim;bančiš;banči;bančimo;bančite;banče
rudjeti;rudjmem;rudjmeš;rudjme;rudjmemo;rudjmete;rudjmu
sokoliti;sokolim;sokoliš;sokoli;sokolimo;sokolite;sokole
presoliti;presolim;presoliš;presoli;presolimo;presolite;presole
izguliti;izgulim;izguliš;izguli;izgulimo;izgulite;izgule
objasniti;objasnim;objasniš;objasni;objasnimo;objasnite;objasne
razonoditi;razonodim;razonodiš;razonodi;razonodimo;razonodite;razonode
ponoviti;ponovim;ponoviš;ponovi;ponovimo;ponovite;ponove
predujmiti;predujmim;predujmiš;predujmi;predujmimo;predujmite;predujme
tamniti;tamnim;tamniš;tamni;tamnimo;tamnite;tamne
ovjeriti;ovjerim;ovjeriš;ovjeri;ovjerimo;ovjerite;ovjere
baždariti;baždarim;baždariš;baždari;baždarimo;baždarite;baždare
sramotiti;sramotim;sramotiš;sramoti;sramotimo;sramotite;sramote
umutiti;umutmem;umutmeš;umutme;umutmemo;umutmete;umutmu
prokaditi;prokadim;prokadiš;prokadi;prokadimo;prokadite;prokade
jaloviti;jalovim;jaloviš;jalovi;jalovimo;jalovite;jalove
sniziti;snizim;sniziš;snizi;snizimo;snizite;snize
opružiti;opružim;opružiš;opruži;opružimo;opružite;opruže
zatrudnjeti;zatrudnjmem;zatrudnjmeš;zatrudnjme;zatrudnjmemo;zatrudnjmete;zatrudnjmu
cijediti;cijedim;cijediš;cijedi;cijedimo;cijedite;cijede
raniti;ranim;raniš;rani;ranimo;ranite;rane
mrziti;mrzim;mrziš;mrzi;mrzimo;mrzite;mrze
produljiti;produljim;produljiš;produlji;produljimo;produljite;produlje
zavoljeti;zavoljmem;zavoljmeš;zavoljme;zavoljmemo;zavoljmete;zavoljmu
uznojiti;uznojim;uznojiš;uznoji;uznojimo;uznojite;uznoje
nailaziti;nailazim;nailaziš;nailazi;nailazimo;nailazite;nailaze
navabiti;navabim;navabiš;navabi;navabimo;navabite;navabe
lijepiti;lijepim;lijepiš;lijepi;lijepimo;lijepite;lijepe
tajiti;tajim;tajiš;taji;tajimo;tajite;taje
oporaviti;oporavim;oporaviš;oporavi;oporavimo;oporavite;oporave
izopćiti;izopćikem;izopćikeš;izopćike;izopćikemo;izopćikete;izopćiku
odomaćiti;odomaćikem;odomaćikeš;odomaćike;odomaćikemo;odomaćikete;odomaćiku
opečatiti;opečatim;opečatiš;opečati;opečatimo;opečatite;opečate
ljutiti;ljutmem;ljutmeš;ljutme;ljutmemo;ljutmete;ljutmu
oriti;orim;oriš;ori;orimo;orite;ore
odvratiti;odvratim;odvratiš;odvrati;odvratimo;odvratite;odvrate
moriti;morim;moriš;mori;morimo;morite;more
zaštititi;zaštitim;zaštitiš;zaštiti;zaštitimo;zaštitite;zaštite
podbaciti;podbacim;podbaciš;podbaci;podbacimo;podbacite;podbace
hlapiti;hlapim;hlapiš;hlapi;hlapimo;hlapite;hlape
mrijestiti;mrijestsem;mrijestseš;mrijestse;mrijestsemo;mrijestsete;mrijestsu
joguniti;jogunim;joguniš;joguni;jogunimo;jogunite;jogune
orožiti;orožim;orožiš;oroži;orožimo;orožite;orože
naputiti;naputmem;naputmeš;naputme;naputmemo;naputmete;naputmu
pogospoditi;pogospodim;pogospodiš;pogospodi;pogospodimo;pogospodite;pogospode
opredijeliti;opredijelim;opredijeliš;opredijeli;opredijelimo;opredijelite;opredijele
djetinjariti;djetinjarmem;djetinjarmeš;djetinjarme;djetinjarmemo;djetinjarmete;djetinjarmu
uveseliti;uveselim;uveseliš;uveseli;uveselimo;uveselite;uvesele
podariti;podarim;podariš;podari;podarimo;podarite;podare
gnjaviti;gnjavim;gnjaviš;gnjavi;gnjavimo;gnjavite;gnjave
zbližiti;zbližim;zbližiš;zbliži;zbližimo;zbližite;zbliže
debeliti;debelim;debeliš;debeli;debelimo;debelite;debele
problijedjeti;problijedjmem;problijedjmeš;problijedjme;problijedjmemo;problijedjmete;problijedjmu
otrčati;otrčam;otrčaš;otrča;otrčamo;otrčate;otrčaju
sanjariti;sanjarim;sanjariš;sanjari;sanjarimo;sanjarite;sanjare
blatiti;blatim;blatiš;blati;blatimo;blatite;blate
ispržiti;ispržim;ispržiš;isprži;ispržimo;ispržite;isprže
gložiti;gložim;gložiš;gloži;gložimo;gložite;glože
poprijetiti;poprem;popreš;popre;popremo;poprete;popru
odgovoriti;odgovorim;odgovoriš;odgovori;odgovorimo;odgovorite;odgovore
doumiti;doumim;doumiš;doumi;doumimo;doumite;doume
rasporiti;rasporim;rasporiš;raspori;rasporimo;rasporite;raspore
zaoštriti;zaoštrim;zaoštriš;zaoštri;zaoštrimo;zaoštrite;zaoštre
naužiti;naužim;naužiš;nauži;naužimo;naužite;nauže
obaliti;obalim;obališ;obali;obalimo;obalite;obale
