abdiciram,abdicirati
odumirem,odumirati
odumrem,odumrijeti
odupirem,odupirati
oduprem,oduprijeti
odustajem,odustajati
odustanem,odustati
oduševim,oduševiti
oduševljavam,oduševljavati
oduzimam,oduzimati
oduzmem,oduzeti
odužim,odužiti
odužujem,oduživati
odvagnem,odvagnuti
odvajam,odvajati
odvalim,odvaliti
odvažem,odvagati
odvažim,odvažiti
odvedem,odvesti
odveslam,odveslati
odvezem,odvesti
odvezujem,odvezivati
odvežem,odvezati
odvijam,odvijati
odvijem,odviti
odvikavam,odvikavati
odviknem,odviknuti
odvinem,odvinuti
odvlačim,odvlačiti
odvodim,odvoditi
odvodnjavam,odvodnjavati
odvojim,odvojiti
odvozim,odvoziti
odvraćam,odvraćati
odvratim,odvratiti
odvrćem,odvrtati
odvrnem,odvrnuti
odvrtim,odvrtjeti
odvučem,odvući
odzvanjam,odzvanjati
odzvonim,odzvoniti
ofarbam,ofarbati
ogadim,ogaditi
ogladnim,ogladnjeti
oglasim,oglasiti
oglašavam,oglašavati
ogledam,ogledati
ogledavam,ogledavati
oglobim,oglobiti
oglodavam,oglodavati
oglođem,oglodati
oglušim,oglušiti
ognojim,ognojiti
ogolim,ogoljeti
ogoljujem,ogoljivati
ogovaram,ogovarati
ogradim,ograditi
ograđujem,ograđivati
ograničavam,ograničavati
ograničim,ograničiti
ogrćem,ogrtati
ogrebem,ogrepsti
ogreznem,ogreznuti
ogrijem,ogrijati
ogriješim,ogriješiti
ogrnem,ogrnuti
ogrubim,ogrubjeti
ogulim,oguliti
ohladim,ohladiti
ohlađujem,ohlađivati
ohrabrim,ohrabriti
ohrabrujem,ohrabrivati
ohrapavim,ohrapaviti
ojačam,ojačati
ojačavam,ojačavati
ojadim,ojaditi
ojađujem,ojađivati
ojarim,ojariti
ojkam,ojkati
ojunačim,ojunačiti
ojužim,ojužiti
okačim,okačiti
okajem,okajati
okaljam,okaljati
okamenim,okameniti
okanim,okaniti
okarakteriziram,okarakterizirati
okidam,okidati
okinem,okinuti
okitim,okititi
okladim,okladiti
oklevećem,oklevetati
oklijevam,oklijevati
okliznem,okliznuti
okolišam,okolišati
okomim,okomiti
okomljujem,okomljivati
okončam,okončati
okončavam,okončavati
okopam,okopati
okopavam,okopavati
okopnim,okopnjeti
okopnjujem,okopnjivati
okoristim,okoristiti
okorištavam,okorištavati
okoštam,okoštati
okotim,okotiti
okrečim,okrečiti
okrećem,okretati
okrenem,okrenuti
okrepljujem,okrepljivati
okrešem,okresati
okrijepim,okrijepiti
okrivim,okriviti
okrivljavam,okrivljavati
okrivljujem,okrivljavati
okrnjim,okrnjiti
okrunim,okruniti
okružim,okružiti
okružujem,okruživati
okrznem,okrznuti
oksidiram,oksidirati
oktroiram,oktroirati
okućim,okućiti
okujem,okovati
okupam,okupati
okupim,okupiti
okupiram,okupirati
okupljam,okupljati
okuražim,okuražiti
okuražujem,okuraživati
okusim,okusiti
okušam,okušati
olabavim,olabaviti
olabavljujem,olabavljivati
olakšam,olakšati
olakšavam,olakšavati
oličim,oličiti
olupim,olupiti
oljuštim,oljuštiti
omacim,omaciti
omahnem,omahnuti
omaknem,omaknuti
omalovažavam,omalovažavati
omalovažim,omalovažiti
omamim,omamiti
omanem,omanuti
omasovim,omasoviti
omastim,omastiti
omatam,omatati
omeđim,omeđiti
omeđujem,omeđivati
omekšam,omekšati
omekšavam,omekšavati
ometam,ometati
ometem,omesti
omirišem,omirisati
omogućavam,omogućavati
omogućim,omogućiti
omogućujem,omogućivati
omotam,omotati
omrsim,omrsiti
omršavim,omršavjeti
omrznem,omrznuti
onečistim,onečistiti
onemoćam,onemoćati
onemogućavam,onemogućavati
onemogućim,onemogućiti
onemogućujem,onemogućivati
oneraspoložim,oneraspoložiti
onesposobim,onesposobiti
onesposobljavam,onesposobljavati
onesvijestim,onesvijestiti
onjušim,onjušiti
opadam,opadati
opadnem,opasti
opajam,opajati
opalim,opaliti
opaljujem,opaljivati
opametim,opametiti
oparim,opariti
opasujem,opasivati
opašem,opasati
opaučim,opaučiti
opazim,opaziti
opažam,opažati
opčaram,opčarati
opčaravam,opčaravati
opčinim,opčiniti
opčinjavam,opčinjavati
općim,općiti
opečatim,opečatiti
opečem,opeći
opelješim,opelješiti
opepelim,opepeliti
operem,oprati
operiram,operirati
opernatim,opernatiti
operušam,operušati
opetujem,opetovati
ophodim,ophoditi
opijam,opijati
opijem,opiti
opipam,opipati
opipavam,opipavati
opirem,opirati
opismenim,opismeniti
opismenjavam,opismenjavati
opisujem,opisivati
opišem,opisati
opjevam,opjevati
opjevavam,opjevavati
opkolim,opkoliti
opkoljavam,opkoljavati
opkopam,opkopati
opkoračim,opkoračiti
oplačem,oplakati
oplakujem,oplakivati
oplemenim,oplemeniti
oplemenjujem,oplemenjivati
opletem,oplesti
oplijenim,oplijeniti
oplijevim,oplijeviti
oplodim,oploditi
oplođujem,oplođivati
oplovim,oploviti
opljačkam,opljačkati
opljevljujem,opljevljivati
opomenem,opomenuti
opominjem,opominjati
oponašam,oponašati
oponiram,oponirati
oporavim,oporaviti
oporavljam,oporavljati
oporezivam,oporezivati
oporezujem,oporezovati
oporučim,oporučiti
oporučujem,oporučivati
opovrgavam,opovrgavati
opovrgnem,opovrgnuti
opozivam,opozivati
opozovem,opozvati
oprasim,oprasiti
oprašim,oprašiti
opraštam,opraštati
oprašujem,oprašivati
opravdam,opravdati
opravdavam,opravdavati
opravim,opraviti
opredijelim,opredijeliti
oprem,oprijeti
opremam,opremati
opremim,opremiti
opričam,opričati
oprimjerim,oprimjeriti
oprobam,oprobati
oprostim,oprostiti
opružam,opružati
opružim,opružiti
opržim,opržiti
opserviram,opservirati
opsjedam,opsjedati
opsjednem,opsjesti
opsjenjujem,opsjenjivati
opskrbim,opskzbiti
opskrbljujem,opskrbljivati
opslužujem,opsluživati
opstam,opstati
opstojim,opstojati
opsujem,opsovati
opšijem,opšiti
opšivam,opšivati
opterećujem,opterećivati
opteretim,opteretiti
optječem,optjecati
optočim,optočiti
optrčim,optrčati
optužim,optužiti
optužujem,optuživati
opuhnem,opuhnuti
opunomoćim,opunomoćiti
opunomoćujem,opunomoćivati
opustim,opustjeti
opustošim,opustošiti
opuštam,opuštati
opuznem,opuznuti
oraspoložim,oraspoložiti
ordiniram,ordinirati
orem,orati
orežem,orezati
organiziram,organizirati
orgijam,orgijati
orguljam,orguljati
oribam,oribati
orijentiram,orijentirati
orim,oriti
orišem,orisati
ornamentiram,ornamentirati
orobim,orobiti
oročim,oročiti
orodim,oroditi
oronem,oronuti
orosim,orositi
orožim,orožiti
orubim,orubiti
oružam,oružati
osakatim,osakatiti
osamim,osamiti
osamljujem,osamljivati
osamostalim,osamostaliti
osciliram,oscilirati
osiguram,osigurati
osiguravam,osiguravati
osipam,osipati
osiromašim,osiromašiti
osiromašujem,osiromašivati
osjećam,osjećati
osjenčam,osjenčati
osjetim,osjetiti
oskudijevam,oskudijevati
oskvrnem,oskvrnuti
oslabim,oslabiti
oslabljujem,oslabljivati
osladim,osladiti
oslanjam,oslanjati
oslijepim,oslijepjeti
oslikam,oslikati
oslikavam,oslikavati
oslobađam,oslobađati
oslobodim,osloboditi
oslonim,osloniti
oslovim,osloviti
oslovljavam,oslovljavati
osluhnem,osluhnuti
osluškujem,osluškivati
osmislim,osmisliti
osmjehnem,osmjehnuti
osmjehujem,osmjehivati
osmjelim,osmjeliti
osmjeljujem,osmjeljivati
osmudim,osmuditi
osnažim,osnažiti
osnažujem,osnaživati
osnivam,osnivati
osnujem,osnovati
osokolim,osokoliti
osolim,osoliti
osovim,osoviti
ospem,osuti
osporavam,osporavati
osporim,osporiti
osposobim,osposobiti
osposobljavam,osposobljavati
osramotim,osramotiti
ostajem,ostajati
ostaklim,ostakliti
ostanem,ostati
ostarim,ostarjeti
ostavim,ostaviti
ostavljam,ostavljati
ostrižem,ostrići
ostružem,ostrugati
ostrvim,ostrviti
ostvarim,ostvariti
ostvarujem,ostvarivati
osudim,osuditi
osuđujem,osuđivati
osujećujem,osujećivati
osujetim,osujetiti
osumnjičim,osumnjičiti
osušim,osušiti
osvajam,osvajati
osvanem,osvanuti
osvećujem,osvećivati
osvetim,osvetiti
osvijestim,osvijestiti
osvijetlim,osvijetliti
osvjedočim,osvjedočiti
osvješćujem,osvješćivati
osvjetlam,osvjetlati
osvjetljavam,osvjetljavati
osvjetljujem,osvjetljivati
osvježavam,osvježavati
osvježim,osvježiti
osvojim,osvojiti
osvrćem,osvrtati
osvrnem,osvrnuti
ošamarim,ošamariti
ošamutim,ošamutiti
ošepavim,ošepaviti
ošinem,ošinuti
ošišam,ošišati
oštećujem,oštećivati
oštenim,ošteniti
oštetim,oštetiti
oštrigam,oštrigati
ošugavim,ošugaviti
otančam,otančati
otapam,otapati
otarasim,otarasiti
otegnem,otegnuti
oteknem,oteći
otešem,otesati
otežam,otežati
otežavam,otežavati
otežem,otezati
otfikarim,otfikariti
othranim,othraniti
otičem,oticati
otiđem,otići
otimam,otimati
otimljem,otimati
otipkam,otipkati
otirem,otirati
otisnem,otisnuti
otječem,otjecati
otjeram,otjerati
otkačim,otkačiti
otkapčam,otkapčati
otkazujem,otkazivati
otkažem,otkazati
otkidam,otkidati
otklanjam,otklanjati
otkližem,otklizati
otklonim,otkloniti
otključam,otključati
otkočim,otkočiti
otkopam,otkopati
otkopčam,otkopčati
otkopčavam,otkopčavati
otkotrljam,otkotrljati
otkoturam,otkoturati
otkračunavam,otkračunavati
otkrijem,otkriti
otkrivam,otkrivati
otkucam,otkucati
otkucavam,otkucavati
otkupim,otkupiti
otkupljujem,otkupljivati
otkvačim,otkvačiti
otkvačujem,otkvačivati
otmem,oteti
otopim,otopiti
otpadam,otpadati
otpadnem,otpasti
otpečatim,otpečatiti
otperjam,otperjati
otperjašim,otperjašiti
otpetljam,otpetljati
otpijem,otpiti
otpirem,otpirati
otpisujem,otpisivati
otpišem,otpisati
otpjevam,otpjevati
otplaćujem,otplaćivati
otplatim,otplatiti
otplećem,otpletati
otpletem,otplesti
otplivam,otplivati
otplutam,otplutati
otpočinem,otpočinuti
otpočinjem,otpočinjati
otpočnem,otpočeti
otpošaljem,otposlati
otpratim,otpratiti
otpravim,otpraviti
otpravljam,otpravljati
otpremam,otpremati
otpremim,otpremiti
otpuhnem,otpuhnuti
otpuhujem,otpuhivati
otpustim,otpustiti
otpuštam,otpuštati
otputujem,otputovati
otrčim,otrčati
otresam,otresati
otresem,otresti
otrgnem,otrgnuti
otrijeznim,otrijezniti
otromboljim,otromboljiti
otrpim,otrpjeti
otrujem,otrovati
otučem,otući
otuđim,otuđiti
otupim,otupiti
otupljujem,otupljivati
otvaram,otvarati
otvorim,otvoriti
otvrdnem,otvrdnuti
otvrdnjujem,otvrdnjivati
ovapnim,ovapnjeti
ovijam,ovijati
ovijem,oviti
ovisim,ovisiti
ovjekovječim,ovjekovječiti
ovjenčam,ovjenčati
ovjeravam,ovjeravati
ovjerim,ovjeriti
ovjerovim,ovjeroviti
ovjesim,ovjesiti
ovladam,ovladati
ovladavam,ovladavati
ovlastim,ovlastiti
ovlašćujem,ovlašćivati
ovlažim,ovlažiti
ozakonim,ozakoniti
ozarim,ozariti
ozdravim,ozdraviti
ozdravljam,ozdravljati
ozelenim,ozelenjeti
ozidam,ozidati
ozlijedim,ozlijediti
ozloglasim,ozloglasiti
ozlovoljavam,ozlovoljavati
ozlovoljim,ozlovoljiti
ozljeđujem,ozljeđivati
označavam,označavati
označim,označiti
označujem,označivati
oznojim,oznojiti
ozvučim,ozvučiti
ožalostim,ožalostiti
ožalošćujem,ožalošćivati
ožbukam,ožbukati
ožednim,ožednjeti
oženim,oženiti
ožežem,ožeći
oživim,oživjeti
oživljavam,oživljavati
oživotvorim,oživotvoriti
pabirčim,pabirčiti
pacificiram,pacificirati
packam,packati
pačam,pačati
padam,padati
padnem,pasti
paginiram,paginirati
pakiram,pakirati
pakostim,pakostiti
paktiram,paktirati
palim,paliti
palucam,palucati
pamtim,pamtiti
paničarim,paničariti
paniram,panirati
papriciram,papricirati
paprim,papriti
parafiram,parafirati
parafraziram,parafrazirati
param,parati
parazitiram,parazitirati
parceliram,parcelirati
pardoniram,pardonirati
parim,pariti
pariram,parirati
parketiram,parketirati
parkiram,parkirati
parničim,parničiti
parodiram,parodirati
participiram,participirati
pasem,pasti
pasiram,pasirati
pasteriziram,pasterizirati
pašem,pasati
patentiram,patentirati
patim,patiti
patiniram,patinirati
patroliram,patrolirati
pauperiziram,pauperizirati
pauziram,pauzirati
pazarim,pazariti
pazim,paziti
pecam,pecati
peckam,peckati
pecnem,pecnuti
pečatim,pečatiti
pečem,peći
peglam,peglati
pelješim,pelješiti
penaliziram,penalizirati
penetriram,penetrirati
pentam,pentati
penjam,penjati
penjem,penjati
perem,prati
perforiram,perforirati
perpetuiram,perpetuirati
perušam,perušati
perutam,perutati
pervertiram,pervertirati
petljam,petljati
petrificiram,petrificirati
pijančim,pijančevati
pijem,piti
pijuckam,pijuckati
pijučem,pijukati
pikam,pikati
pikiram,pikirati
piknem,piknuti
pilim,piliti
piljarim,piljariti
piljim,piljiti
pimplam,pimplati
pipam,pipati
pipnem,pipnuti
pirim,piriti
pirjam,pirjati
pirkam,pirkati
pirnem,pirnuti
pirujem,pirovati
piskam,piskati
piskaram,piskarati
piskutam,piskutati
pisnem,pisnuti
pišem,pisati
pištim,pištati
pitam,pitati
pituram,piturati
pjenim,pjeniti
pjenušam,pjenušati
pjestujem,pjestovati
pješačim,pješačiti
pjevam,pjevati
pjevčim,pjevčiti
pjevnem,pjevnuti
pjevuckam,pjevuckati
pjevušim,pjevušiti
plačem,plakati
plaćam,plaćati
plagiram,plagirati
plahnem,plahnuti
plakatiram,plakatirati
plamtim,plamtjeti
plandujem,plandovati
planem,planuti
planinarim,planinariti
planiram,planirati
plasiram,plasirati
plastim,plastiti
plašim,plašiti
platim,platiti
plavim,plaviti
plazim,plaziti
plešem,plesati
pletem,plesti
plijenim,plijeniti
plijevim,plijeviti
plisiram,plisirati
plivam,plivati
plodim,ploditi
plombiram,plombirati
plovim,ploviti
plutam,plutati
plužim,plužiti
pljačkam,pljačkati
pljeskam,pljeskati
pljesnem,pljesnuti
pljesnivim,pljesniviti
pljuckam,pljuckati
pljujem,pljuvati
pljunem,pljunuti
pljuskam,pljuskati
pljusnem,pljusnuti
pljuštim,pljuštati
pobacam,pobacati
pobacim,pobaciti
pobenavim,pobenaviti
poberem,pobrati
pobijam,pobijati
pobijedim,pobijediti
pobijelim,pobijeliti
pobijem,pobiti
pobilježim,pobilježiti
pobirem,pobirati
pobjeđujem,pobjeđivati
pobjegnem,pobjeći
pobjesnim,pobjesnjeti
poblesavim,poblesaviti
poblijedim,poblijedjeti
pobljujem,pobljuvati
pobodem,pobosti
pobojam,pobojati
pobojim,pobojati
poboljšam,poboljšati
poboljšavam,poboljšavati
pobrajam,pobrajati
pobratim,pobratiti
pobratimim,pobratimiti
pobrinem,pobrinuti
pobrkam,pobrkati
pobrojavam,pobrajati
pobrojim,pobrojati
pobudim,pobuditi
pobuđujem,pobuđivati
pobunim,pobuniti
pocijepam,pocijepati
pocjepkam,pocjepkati
pocrkam,pocrkati
pocrnim,pocrnjeti
pocrpem,pocrpsti
pocrvenim,pocrvenjeti
pocupkujem,pocupkivati
počastim,počastiti
počekam,počekati
počešem,počešati
počešljam,počešljati
počinem,počinuti
počinim,počiniti
počinjam,počinjati
počinjem,počinjati
počistim,počistiti
počivam,počivati
počnem,početi
počujem,počuti
počupam,počupati
podajem,podavati
podam,podati
podarim,podariti
podastirem,podastirati
podastrem,podastrijeti
podbacim,podbaciti
podbacujem,podbacivati
podbadam,podbadati
podbočim,podbočiti
podbodem,podbosti
podbrusim,podbrusiti
podcijenim,podcijeniti
podcjenjujem,podcjenjivati
podcrtam,podcrtati
podcrtavam,podcrtavati
podčinim,podčiniti
podebljam,podebljati
poderem,poderati
podesim,podesiti
podešavam,podešavati
podgrijavam,podgrijavati
podgrijem,podgrijati
podičim,podičiti
podignem,podići
podijelim,podijeliti
podilazim,podilaziti
podivljam,podivljati
podižem,podizati
podjarim,podjariti
podjarmim,podjarmiti
podjeljujem,podjeljivati
podjetinjim,podjetinjiti
podlegnem,podlegnuti
podločem,podlokati
podlokavam,podlokavati
podmazujem,podmazivati
podmažem,podmazati
podmećem,podmetati
podmetnem,podmetnuti
podmićujem,podmićivati
podmirim,podmiriti
podmirujem,podmirivati
podmitim,podmititi
podmjestim,podmjestiti
podnapijem,podnapiti
podnesem,podnijeti
podnosim,podnositi
podojim,podojiti
podragam,podragati
podrapam,podrapati
podraškam,podraškati
podrazumijevam,podrazumijevati
podražavam,podražavati
podražim,podražiti
podredim,podrediti
podređujem,podređivati
podrežem,podrezati
podrhtavam,podrhtavati
podrignem,podrignuti
podrivam,podrivati
podronim,podroniti
podršećem,podrhtati
podrugujem,podrugivati
podrujem,podrovati
podržavam,podržavati
podržavim,podržaviti
podržim,podržati
podsijecam,podsijecati
podsiječem,podsjeći
podsjećam,podsjećati
podsjetim,podsjetiti
podsmjehnem,podsmjehnuti
podsmjehujem,podsmjehivati
podsmješkujem,podsmješkivati
podstavim,podstaviti
podstavljam,podstavljati
podšišam,podšišati
podučavam,podučavati
podučim,podučiti
podudaram,podudarati
podudarim,podudariti
poduhvatim,poduhvatiti
podupirem,podupirati
poduprem,poduprijeti
poduzimam,poduzimati
poduzmem,poduzeti
podvalim,podvaliti
podvedem,podvesti
podvežem,podvezati
podvijem,podviti
podviknem,podviknuti
podvinem,podvinuti
podvlačim,podvlačiti
podvodim,podvoditi
podvostručim,podvostručiti
podvrgavam,podvrgavati
podvrgnem,podvrgnuti
podvučem,podvući
podžegnem,podžeći
pođem,poći
poetiziram,poetizirati
pogađam,pogađati
poganim,poganiti
pogasim,pogasiti
pogazim,pogaziti
pogibam,pogibati
poginem,poginuti
pogladim,pogladiti
pogledam,pogledati
pogledavam,pogledavati
pognem,pognuti
pognojim,pognojiti
pogodim,pogoditi
pogodujem,pogodovati
pogoršam,pogoršati
pogoršavam,pogoršavati
pogospodim,pogospoditi
pogostim,pogostiti
pograbim,pograbiti
pogrbim,pogrbiti
pogriješim,pogriješiti
pogubim,pogubiti
pogubljujem,pogubljivati
poguram,pogurati
poguravam,poguravati
pogurujem,pogurivati
pohabam,pohabati
pohađam,pohađati
poham,pohati
poharam,poharati
pohitam,pohitati
pohodim,pohoditi
pohranim,pohraniti
pohranjujem,pohranjivati
pohrlim,pohrliti
pohrvam,pohzvati
pohrvatim,pohrvatiti
pohvalim,pohvaliti
pohvaljujem,pohvaljivati
pohvatam,pohvatati
poigram,poigrati
poigravam,poigravati
poimam,poimati
poispadam,poispadati
poistovjećujem,poistovjećivati
poistovjetim,poistovjetiti
pojačam,pojačati
pojačavam,pojačavati
pojasnim,pojasniti
pojašem,pojahati
pojašnjavam,pojašnjavati
pojavim,pojaviti
pojavljujem,pojavljivati
pojedem,pojesti
pojednostavim,pojednostaviti
pojeftinim,pojeftiniti
pojem,pojati
pojim,pojiti
pojmim,pojmiti
pojurim,pojuriti
pokadim,pokaditi
pokajem,pokajati
pokapam,pokapati
pokaram,pokarati
pokazujem,pokazivati
pokažem,pokazati
pokefam,pokefati
pokidam,pokidati
pokisnem,pokisnuti
poklanjam,poklanjati
poklapam,poklapati
pokleknem,pokleknuti
pokliznem,pokliznuti
poklonim,pokloniti
poklopim,poklopiti
pokolebam,pokolebati
pokoljem,poklati
pokondirim,pokondiriti
pokopam,pokopati
pokoravam,pokoravati
pokorim,pokoriti
pokosim,pokositi
pokoškam,pokoškati
pokraćujem,pokraćivati
pokradem,pokrasti
pokratim,pokratiti
pokrećem,pokretati
pokrenem,pokrenuti
pokrijem,pokriti
pokrivam,pokrivati
pokročim,pokročiti
pokrpam,pokrpati
pokrstim,pokzstiti
pokucam,pokucati
pokudim,pokuditi
pokuljam,pokuljati
pokunjim,pokunjiti
pokupim,pokupiti
pokusam,pokusati
pokušam,pokušati
pokušavam,pokušavati
pokvarim,pokvariti
polariziram,polarizirati
polaskam,polaskati
polazim,polaziti
polažem,polagati
polegnem,polegnuti
polemiziram,polemizirati
poletim,poletjeti
polijem,politi
polijevam,polijevati
poliježem,polijegati
polipsam,polipsati
poliram,polirati
politiziram,politizirati
poližem,polizati
polomim,polomiti
polovim,poloviti
položim,položiti
polučim,polučiti
poludim,poludjeti
polupam,polupati
poljepšam,poljepšati
poljepšavam,poljepšavati
poljubim,poljubiti
poljuljam,poljuljati
pomaknem,pomaknuti
pomamim,pomamiti
pomanjkam,pomanjkati
pomazim,pomaziti
pomažem,pomazati
pometem,pomesti
pomičem,pomicati
pomiješam,pomiješati
pomilujem,pomilovati
pomirim,pomiriti
pomirišem,pomirisati
pomislim,pomisliti
pomišljam,pomišljati
pomladim,podmladiti
pomlatim,pomlatiti
pomnožim,pomnožiti
pomodrim,pomodrjeti
pomognem,pomoći
pomokrim,pomokriti
pomolim,pomoliti
pomorim,pomoriti
pomračim,pomračiti
pomračujem,pomračivati
pomrem,pomrijeti
pomrsim,pomrsiti
pomučim,pomučiti
pomutim,pomutiti
pomuzem,pomusti
ponadam,ponadati
ponarastem,ponarasti
ponašam,ponašati
ponavljam,ponavljati
ponesem,ponijeti
poniknem,ponići
ponirem,ponirati
poništavam,poništavati
poništim,poništiti
ponizim,poniziti
ponizujem,ponizivati
ponižavam,ponižavati
ponosim,ponositi
ponovim,ponoviti
ponudim,ponuditi
ponukam,ponukati
ponjušim,ponjušiti
poodmakem,poodmaći
poodmaknem,poodmaknuti
poodmičem,poodmicati
pooštrim,pooštriti
pootimam,pootimati
popadam,popadati
popadnem,popasti
popalim,popaliti
popaprim,popapriti
popasem,popasti
poperem,poprati
popijem,popiti
popiknem,popiknuti
popipam,popipati
popisujem,popisivati
poplaćam,poplaćati
poplašim,poplašiti
poplavim,poplaviti
poplavljujem,poplavljivati
popljujem,popljuvati
popnem,popeti
popratim,popratiti
popravim,popraviti
popravljam,popravljati
popričam,popričati
poprijetim,poprijetiti
poprimam,poprimati
poprimim,poprimiti
poprodavam,poprodavati
poprskam,poprskati
poprskavam,poprskavati
popucam,popucati
popuhujem,popuhivati
popujem,popovati
popunim,popuniti
popunjavam,popunjavati
popustim,popustiti
popušim,popušiti
popuštam,popuštati
poradim,poraditi
poradujem,poradovati
porađam,porađati
poranim,poraniti
porastem,porasti
poravnam,poravnati
poravnavam,poravnavati
porazbacam,porazbacati
porazbijam,porazbijati
porazbolijevam,porazbolijevati
porazdijelim,porazdijeliti
porazdjeljujem,porazdjeljivati
porazgovaram,porazgovarati
porazgovorim,porazgovoriti
porazim,poraziti
porazmislim,porazmisliti
porazmjestim,porazmjestiti
poražavam,poražavati
poredam,poredati
poredim,porediti
poreknem,poreći
poremetim,poremetiti
poribim,poribiti
poribljavam,poribljavati
poričem,poricati
porigam,porigati
porim,poriti
porinem,porinuti
porječkam,porječkati
porobim,porobiti
porodim,poroditi
portretiram,portretirati
porubim,porubiti
porubljujem,porubljivati
poručim,poručiti
poručujem,poručivati
porumenim,porumenjeti
porušim,porušiti
poružnim,poružniti
poružnjujem,poružnjivati
posadim,posaditi
posakrivam,posakrivati
posavjetujem,posavjetovati
posegnem,posegnuti
poseljačim,poseljačiti
posenilim,poseniliti
poserem,posrati
posežem,posezati
posijedim,posijedjeti
posijem,posijati
posinim,posiniti
posipam,posipati
posivim,posivjeti
posjećujem,posjećivati
posjedam,posjedati
posjedim,posjediti
posjednem,posjesti
posjedujem,posjedovati
posjetim,posjetiti
poskliznem,poskliznuti
poskočim,poskočiti
poskupim,poskupjeti
poslavenim,poslaveniti
poslažem,poslagati
posložim,posložiti
poslujem,poslovati
poslušam,poslušati
poslužim,poslužiti
poslužujem,posluživati
posolim,posoliti
pospješim,pospješiti
pospremam,pospremati
pospremim,pospremiti
posramim,posramiti
posramljujem,posramljivati
posrćem,posrtati
posrebrim,posrebriti
posredujem,posredovati
posrnem,posrnuti
postajem,postajati
postanem,postati
postaram,postarati
postavim,postaviti
postavljam,postavljati
postidim,postidjeti
postiđujem,postiđivati
postignem,postići
postim,postiti
postižem,postizati
postojim,postajati
postradam,postradati
postrijeljam,postrijeljati
postrojim,postrojiti
postupam,postupati
postupim,postupiti
posudim,posuditi
posuđujem,posuđivati
posukljam,posukljati
posumnjam,posumnjati
posustajem,posustajati
posvadim,posvaditi
posvajam,posvajati
posvećujem,posvećivati
posvetim,posvetiti
posvijetlim,posvijetliti
posvjedočim,posvjedočiti
posvjetljujem,posvjetljivati
posvojim,posvojiti
pošaljem,poslati
pošašavim,pošašaviti
pošiljam,pošiljati
poškakljam,poškakljati
poštapam,poštapati
poštedim,poštedjeti
pošteđujem,pošteđivati
poštrcam,poštrcati
poštujem,poštovati
pošumim,pošumiti
pošumljujem,pošumljivati
potaknem,potaći
potamanim,potamaniti
potamnim,potamniti
potamnjujem,potamnjivati
potapam,potapati
potapšam,potapšati
potarem,potrti
potegnem,potegnuti
potežem,potezati
pothranim,pothraniti
potim,potiti
potisnem,protisnuti
potjeram,potjerati
potješim,potješiti
potkazujem,potkazivati
potkažem,potkazati
potkopam,potkopati
potkožim,potkožiti
potkradam,potkradati
potkratim,potkratiti
potkrepljujem,potkrepljivati
potkrešem,potkresati
potkrijepim,potkrijepiti
potkupljujem,potkupljivati
potkusurim,potkusuriti
potonem,potonuti
potpalim,potpaliti
potpaljujem,potpaljivati
potpirim,potpiriti
potpisujem,potpisivati
potpišem,potpisati
potplaćujem,potplaćivati
potplatim,potplatiti
potpomognem,potpomoći
potprašim,potprašiti
potrajem,potrajati
potražim,potražiti
potražujem,potraživati
potrčim,potrčati
potrebujem,potrebovati
potrem,potrti
potresem,potresti
potrgam,potrgati
potrošim,potrošiti
potrubim,potrubiti
potrudim,potruditi
potrujem,potrovati
potucam,potucati
poturim,poturiti
potužim,potužiti
potvorim,potvoriti
potvrdim,potvrditi
potvrđujem,potvrđivati
poubijam,poubijati
poučim,poučiti
pouzdajem,pouzdavati
pouzdam,pouzdati
povadim,povaditi
povalim,povaliti
povaljujem,povaljivati
povećam,povećati
povedem,povesti
povenem,povenuti
povežem,povezati
povirim,poviriti
povisim,povisiti
povisujem,povisivati
povjeravam,povjeravati
povjerim,povjeriti
povjerujem,povjerovati
povješam,povješati
povlačim,povlačiti
povladim,povladiti
povlastim,povlastiti
povratim,povratiti
povređujem,povređivati
povučem,povući
pozabavim,pozabaviti
pozabijam,pozabijati
pozadijevam,pozadijevati
pozajmim,pozajmiti
pozajmljujem,pozajmljivati
pozatvaram,pozatvarati
pozdravim,pozdraviti
pozdravljam,pozdravljati
pozelenim,pozelenjeti
poziram,pozirati
pozivam,pozivati
pozlatim,pozlatiti
poznajem,poznavati
poznam,poznati
pozovem,pozvati
pozvonim,pozvoniti
požalim,požaliti
požanjem,požeti
požderem,požderati
poželim,poželjeti
poživim,poživjeti
požnjem,požeti
požurim,požuriti
požurujem,požurivati
požutim,požutjeti
prakticiram,prakticirati
praskam,praskati
prasnem,prasnuti
prašim,prašiti
praštam,praštati
pratim,pratiti
pravdam,pravdati
pravim,praviti
prdim,prdjeti
prebacim,prebaciti
preberem,prebrati
prebijem,prebiti
prebirem,prebirati
prebivam,prebivati
prebolim,preboljeti
prebrinem,prebrinuti
prebrodim,prebroditi
prebrojavam,prebrojavati
prečistim,prečistiti
predahnem,predahnuti
predajem,predavati
predam,predati
predanim,predaniti
predbacim,predbaciti
predbilježim,predbilježiti
predem,presti
predignem,predignuti
predlažem,predlagati
predložim,predložiti
predložim,predložiti
predočavam,predočavati
predodredim,predodrediti
predomislim,predomisliti
predsjednikujem,predsjednikovati
predskažem,predskazati
predstavim,predstaviti
predstavljam,predstavljati
preduhitrim,preduhitriti
predujmim,predujmiti
